Ticker SYMBOL,資料日期,Close,Volume,Amount,ADV20,Turnover_Ratio,ATR_Pct,近20日缺資料天數,是否異常波動,是否連續無量,Liquidity_Score
1101.TW,2026-04-10,25.399999618530277,52588251.0,1335741555.3391745,781698351.1541041,1.6177692790845597,0.02684882550183909,0,0,0,0.911776927908456
1102.TW,2026-04-10,35.5,6522796.0,231559258.0,328608414.6711882,0.6920649245741819,0.015255305933274102,0,0,0,0.8192064924574183
1103.TW,2026-04-10,13.850000381469728,364920.0,5054142.139205934,3600317.973949909,1.3855016283213055,0.013721451210067273,0,0,0,0.23855016283213054
1104.TW,2026-04-10,29.5,197416.0,5823772.0,16969288.36097298,0.34350825923375505,0.01565617702002869,0,0,0,0.20033374927369374
1108.TW,2026-04-10,14.850000381469728,566086.0,8406377.315944673,4909349.423507643,1.7202415690960273,0.010894708676705809,0,0,0,0.27202415690960274
1109.TW,2026-04-02,15.25,53000.0,808250.0,2629826.3385347365,0.3081134706337342,0.010953945334937366,0,0,0,0.15
1110.TW,2026-04-02,14.399999618530272,420717.0,6058324.6395092,3740474.973730135,1.7268732195033152,0.02615985578247638,0,0,0,0.2726873219503315
1201.TW,2026-04-10,13.350000381469728,249565.0,3331692.845201493,5526757.981915045,0.6149130173979988,0.013990009902378257,0,0,0,0.16149130173979986
1203.TW,2026-04-02,39.400001525878906,17072.0,672636.8260498047,1193042.75935421,0.5574885584551507,0.014767835457593905,0,0,0,0.15574885584551507
1210.TW,2026-04-10,54.59999847412109,939373.0,51289764.36663055,123327420.12732963,0.4109737880305234,0.016848768187752522,0,0,0,0.8
1213.TW,2026-04-10,9.449999809265137,2002.0,18918.899618148804,143724.97692074775,0.13432139849911603,0.027604986389561194,0,0,0,0.15
1215.TW,2026-04-10,143.5,859266.0,123304671.0,134883878.8,0.9203648336457481,0.0234755463946318,0,0,0,0.8420364833645748
1216.TW,2026-04-10,71.80000305175781,13613704.0,977463988.7457275,726550757.1596572,1.331284163365594,0.014746503557792168,0,0,0,0.8831284163365595
1217.TW,2026-04-02,10.300000190734863,230480.0,2373944.0439605713,4145972.2243865966,0.5742263839184722,0.013564378532960466,0,0,0,0.15742263839184722
1218.TW,2026-04-10,19.350000381469727,608790.0,11780086.732234955,20538224.272461988,0.56957538944819,0.011957934955816065,0,0,0,0.23306693646815557
1219.TW,2026-04-02,13.899999618530272,419163.0,5826365.540102004,5993006.876092434,0.9641064069973806,0.02161731684090531,0,0,0,0.19641064069973807
1220.TW,2026-04-10,12.5,46116.0,576450.0,1502883.5121959685,0.3866662362549485,0.014505612898608997,0,0,0,0.15
1225.TW,2026-04-10,33.0,174278.0,5751174.0,8742177.917991638,0.6408595294291125,0.028262825587807728,0,0,0,0.16408595294291126
1227.TW,2026-04-10,30.100000381469727,313461.0,9435176.219575882,31852512.819791697,0.299105120715621,0.015990827858137307,0,0,0,0.3078237036984956
1229.TW,2026-04-10,44.54999923706055,1193980.0,53191808.08906555,98215562.50845757,0.539989382292226,0.017383292912114035,0,0,0,0.7911113341236384
1231.TW,2026-04-10,91.0,320463.0,29162133.0,29788978.656454086,0.9785418104686139,0.01927201823223704,0,0,0,0.34077458245458536
1232.TW,2026-04-10,150.0,98779.0,14816850.0,10603149.3,1.3959910428418696,0.007841753872824164,0,0,0,0.24395518256196475
1233.TW,2026-04-10,29.399999618530277,10260.0,301643.99608612066,421215.0120082855,0.7247298156389066,0.012763578197694395,0,0,0,0.17247298156389065
1234.TW,2026-04-10,35.849998474121094,72422.0,2596328.589492798,4830103.597917175,0.5395683721235176,0.009454740033657679,0,0,0,0.15395683721235176
1235.TW,2026-04-10,44.04999923706055,22068.0,972095.3831634521,1214780.8659196855,0.7195293127986423,0.047540869194740557,0,0,0,0.17195293127986422
1236.TW,2026-04-02,25.950000762939453,33021.0,856894.9751930237,798274.8057254791,1.078948400250941,0.016480635473249388,0,0,0,0.20789484002509412
1256.TW,2026-04-10,152.5,43200.0,6588000.0,7430301.725,0.8846295613711758,0.02600124536863992,0,0,0,0.18846295613711758
1301.TW,2026-04-10,46.95000076293945,15631075.0,733878983.1755638,1526675563.6205661,0.4801616008967438,0.04094887962996541,0,0,0,0.8
1303.TW,2026-04-02,77.0999984741211,69269991.0,5340716200.402382,7140473776.449061,0.7533323361692926,0.0717535775729036,0,0,0,0.8253332336169293
1304.TW,2026-04-10,15.550000190734863,13891586.0,216014164.94960976,659550042.9181893,0.3436689634392715,0.06671957582520728,0,0,0,0.8
1305.TW,2026-04-10,16.700000762939453,8637630.0,144248427.5899887,459675638.27728,0.3150262726589494,0.07279021529346777,0,0,0,0.8
1307.TW,2026-04-10,31.649999618530277,468609.0,14831474.671239855,43789178.6922843,0.35894694067952726,0.030398864128534497,0,0,0,0.3940329572220533
1308.TW,2026-04-02,18.600000381469727,39700086.0,738421614.744381,396742521.0062293,1.7289187143027915,0.08341473916222963,0,0,0,0.9228918714302792
1309.TW,2026-04-02,25.950000762939453,53016238.0,1375771416.5481796,498345268.9397458,2.12235829008538,0.07639879147784433,0,0,0,0.9622358290085381
1310.TW,2026-04-10,10.300000190734863,8294458.0,85432918.98204231,214376599.8457385,0.44319813769598676,0.06977996388878163,0,0,0,0.8
1312.TW,2026-04-02,13.199999809265137,14521520.0,191684061.23023987,327137774.6398659,0.6074697488095236,0.06932159693720355,0,0,0,0.8107469748809524
1313.TW,2026-04-10,11.75,4739899.0,55693813.25,167351125.37813324,0.3611843325078343,0.04956599775148158,0,0,0,0.8
1314.TW,2026-04-02,8.149999618530273,21481787.0,175076555.8553486,697508098.9237244,0.2678399674738661,0.04253892516146439,0,0,0,0.8
1315.TW,2026-04-02,63.0,13285.0,836955.0,1391616.1452856064,0.6063731945163963,0.013827710660272708,0,0,0,0.16063731945163962
1316.TW,2026-04-10,12.100000381469728,1040249.0,12587013.296823503,17205371.050108574,0.7522295827864253,0.023369381707251936,0,0,0,0.22726174919609332
1319.TW,2026-04-10,81.0999984741211,1156501.0,93792229.33531952,215280570.395092,0.4482523966172535,0.024652449864386104,0,0,0,0.8
1321.TW,2026-04-10,33.25,99268.0,3300661.0,6690284.351937103,0.498130780154656,0.016419360542865427,0,0,0,0.15
1323.TW,2026-04-02,23.299999237060547,949561.0,22124770.57554245,5141109.1108522415,3.949021593459892,0.023684749950793536,0,0,0,0.35
1324.TW,2026-04-10,11.600000381469728,224491.0,2604095.685636521,4645174.840345621,0.559598229754071,0.039925913460867386,0,0,0,0.1559598229754071
1325.TW,2026-04-10,26.799999237060547,163111.0,4371374.675556183,7402642.181541825,0.6008959044761516,0.026055922863243507,0,0,0,0.16008959044761514
1326.TW,2026-04-10,45.0,13406140.0,603276300.0,2156314925.251189,0.2811054514749167,0.05386788293750773,0,0,0,0.8
1337.TW,2026-04-02,6.159999847412109,995734.0,6133721.288063049,10366351.199556446,0.6037316459902056,0.05778926747146542,0,0,0,0.16301903437359488
1338.TW,2026-04-10,16.299999237060547,233613.0,3807891.7217674255,4243129.927952814,0.8608699978074095,0.03684229440480098,0,0,0,0.18608699978074095
1339.TW,2026-04-10,41.29999923706055,52935.0,2186215.4596138,1809697.7508131028,1.2012853651285704,0.019290711625292577,0,0,0,0.22012853651285702
1340.TW,2026-04-10,6.590000152587891,491454.0,3238681.934989929,2124669.199322009,1.5964184904978223,0.0333598874788133,0,0,0,0.2596418490497822
1341.TW,2026-04-10,59.79999923706055,11001.0,657859.7916069031,930708.1894685745,0.6936798895257553,0.01251165464460495,0,0,0,0.16936798895257554
1342.TW,2026-04-10,88.0999984741211,134755.0,11871915.294380188,27114884.236459352,0.4319856948316232,0.019944822203119425,0,0,0,0.27360749726331757
1402.TW,2026-04-10,26.649999618530277,13528540.0,360535585.8392716,470975012.01284343,0.765971266160716,0.02088442588319233,0,0,0,0.8265971266160717
1409.TW,2026-04-02,15.399999618530272,2726308.0,41985142.159996025,56386743.640455246,0.755470641061082,0.026199190452496513,0,0,0,0.5105624348427293
1410.TW,2026-04-10,31.75,40306.0,1279715.5,1721222.4655525207,0.7358056739880299,0.023539149956727186,0,0,0,0.17358056739880298
1413.TW,2026-04-10,9.869999885559082,8892.0,87764.03898239136,227321.373361969,0.3794357109939065,0.018578070589206276,0,0,0,0.15
1414.TW,2026-04-10,16.700000762939453,92983.0,1552816.1709403992,4849697.125233841,0.35297210346251123,0.031405047148200846,0,0,0,0.15
1416.TW,2026-04-02,11.399999618530272,115950.0,1321829.955768585,2809546.560288,0.47703985967334595,0.016250438916060136,0,0,0,0.15
1417.TW,2026-04-10,9.0,131482.0,1183338.0,2037308.3121311187,0.5809982695812175,0.017579493588648423,0,0,0,0.15809982695812175
1418.TW,2026-04-10,18.75,8006.0,150112.5,353579.0036966324,0.4269012864093848,0.025985297418326902,0,0,0,0.15
1419.TW,2026-04-10,62.59999847412109,116079.0,7266545.2228775015,7308603.696683884,0.9800112455739548,0.027745096558508275,0,0,0,0.1980011245573955
