Ticker SYMBOL,資料日期,單月營收年增率(%),毛利率(%),營業利益率(%),單季EPS,ROE(%),稅後淨利率(%),負債比率(%),本業獲利比(%),預估殖利率(%),Revenue_Growth_Score,Profitability_Score,BalanceSheet_Score,Dividend_Score,Quality_Total_Score,資料來源
1449.TW,2025-12-31,,0.84,-24.84,,1.49,5.07,63.52,-95.37,,0.0,0.063375,0.16479999999999995,0.0,0.06338124999999999,fundamentals_clean
1451.TW,2025-12-31,,13.21,2.65,,0.85,3.96,15.25,40.36,551.0,0.0,0.12161111111111111,0.6696666666666666,1.0,0.3599805555555555,fundamentals_clean
1452.TW,2025-12-31,,0.28,-7.52,,-0.38,-3.28,4.95,271.23,417.0,0.0,0.0,1.0,1.0,0.4,fundamentals_clean
1453.TW,2025-12-31,,912.85,-2853.4,,-0.04,-160.71,50.38,3173.11,,0.0,0.25,0.7962,0.0,0.28654999999999997,fundamentals_clean
1454.TW,2025-12-31,,-0.56,-11.36,,-3.75,-14.43,30.6,117.51,194.0,0.0,0.0,0.994,1.0,0.39849999999999997,fundamentals_clean
1455.TW,2025-12-31,,-0.44,-5.93,,-2.99,-14.26,36.88,33.12,,0.0,0.0,0.5405333333333333,0.0,0.13513333333333333,fundamentals_clean
1456.TW,2025-12-31,,46.73,248.19,,20.85,194.73,85.42,116.06,,0.0,0.9299583333333333,0.5,0.0,0.45048541666666664,fundamentals_clean
1457.TW,2025-12-31,,6.94,33.56,,1.96,27.23,48.51,95.5,612.0,0.0,0.5107777777777778,0.8149,1.0,0.5324972222222222,fundamentals_clean
1459.TW,2025-12-31,,15.2,6.56,,1.87,23.26,24.82,25.19,,0.0,0.37226666666666663,0.54325,0.0,0.2661058333333333,fundamentals_clean
1460.TW,2025-12-31,,16.5,1.1,,0.06,0.17,49.7,87.69,,0.0,0.07701388888888888,0.8029999999999999,0.0,0.2277048611111111,fundamentals_clean
1463.TW,2025-12-31,,-148.35,-212.45,,-4.01,-204.74,12.91,114.52,1170.0,0.0,0.0,1.0,1.0,0.4,fundamentals_clean
1464.TW,2025-12-31,,19.39,5.76,,2.38,4.22,66.15,133.06,483.0,0.0,0.19029444444444443,0.6385,1.0,0.3762280555555555,fundamentals_clean
1465.TW,2025-12-31,,-4.05,-24.79,,1.25,24.75,10.06,-98.05,492.0,0.0,0.25,0.5,1.0,0.3625,fundamentals_clean
