Date,Adj Close,Close,High,Low,Open,Volume
2025-04-16,128.6406707763672,133.5,135.0,132.0,133.5,7832335
2025-04-17,124.7862777709961,129.5,131.5,127.0,130.0,13417582
2025-04-18,124.30447387695312,129.0,131.5,128.5,130.5,8624888
2025-04-21,123.82267761230469,128.5,130.0,128.0,128.5,4205022
2025-04-22,122.85906982421875,127.5,131.5,127.0,128.0,7423497
2025-04-23,132.49508666992188,137.5,137.5,132.0,132.5,9807482
2025-04-24,127.67707824707031,132.5,136.5,132.5,136.5,8650133
2025-04-25,132.49508666992188,137.5,141.5,137.0,139.0,15506401
2025-04-28,132.01327514648438,137.0,138.5,136.0,138.0,7138875
2025-04-29,133.45867919921875,138.5,138.5,135.5,137.0,9776474
2025-04-30,130.56787109375,135.5,137.5,135.5,137.0,8403696
2025-05-02,133.9404754638672,139.0,139.5,137.0,138.0,10473829
2025-05-05,129.1224822998047,134.0,140.5,134.0,139.0,9506384
2025-05-06,131.53147888183594,136.5,141.0,134.5,135.0,17347021
2025-05-07,130.56787109375,135.5,138.0,134.5,137.0,13078004
2025-05-08,132.49508666992188,137.5,138.5,135.5,135.5,7144459
2025-05-09,132.49508666992188,137.5,139.0,136.0,137.5,6354093
2025-05-12,136.83128356933594,142.0,142.5,138.5,139.0,7766883
2025-05-13,139.72207641601562,145.0,147.0,144.0,147.0,9116185
2025-05-14,144.5400848388672,150.0,150.0,147.5,148.0,10117723
2025-05-15,145.02188110351562,150.5,151.0,147.5,150.0,8892849
2025-05-16,141.6492919921875,147.0,149.0,145.5,148.5,10101103
2025-05-19,136.83128356933594,142.0,146.0,141.5,145.0,14543951
2025-05-20,138.75848388671875,144.0,146.0,144.0,144.0,8101822
2025-05-21,139.2402801513672,144.5,146.0,144.0,144.5,7294487
2025-05-22,139.72207641601562,145.0,147.0,144.0,145.0,6900143
2025-05-23,137.31307983398438,142.5,145.5,142.0,145.0,6122388
2025-05-26,138.75848388671875,144.0,144.5,141.0,142.0,4247232
2025-05-27,136.3494873046875,141.5,143.5,141.0,143.5,7595227
2025-05-28,136.83128356933594,142.0,145.0,141.0,145.0,8924512
2025-05-29,132.9768829345703,138.0,142.5,138.0,141.5,29235703
2025-06-02,129.60427856445312,134.5,138.5,133.0,136.5,15629483
2025-06-03,128.6406707763672,133.5,137.0,133.5,136.0,21330056
2025-06-04,134.90408325195312,140.0,140.5,136.5,136.5,17054298
2025-06-05,134.4222869873047,139.5,142.5,139.0,139.0,11775484
2025-06-06,133.9404754638672,139.0,141.0,138.0,139.0,6997588
2025-06-09,134.90408325195312,140.0,141.5,139.0,140.0,8004102
2025-06-10,137.31307983398438,142.5,143.5,141.5,141.5,13982300
2025-06-11,140.20388793945312,145.5,147.0,144.0,145.0,16104979
2025-06-12,139.72207641601562,145.0,147.0,142.5,147.0,13036445
2025-06-13,138.2766876220703,143.5,145.5,141.0,142.5,13717548
2025-06-16,139.72207641601562,145.0,146.0,143.0,143.0,9967870
2025-06-17,142.61288452148438,148.0,149.0,146.0,146.0,12469401
2025-06-18,142.61288452148438,148.0,150.0,146.5,147.0,10900858
2025-06-19,140.68568420410156,146.0,149.5,145.0,147.5,8528558
2025-06-20,139.2402801513672,144.5,147.0,143.5,145.5,11103075
2025-06-23,141.6492919921875,147.0,147.0,142.0,142.5,13138081
2025-06-24,144.05828857421875,149.5,150.0,148.0,149.5,13604439
2025-06-25,147.43089294433594,153.0,153.0,150.0,150.5,12307157
2025-06-26,146.94908142089844,152.5,153.0,150.0,151.5,16326024
2025-06-27,144.5400848388672,150.0,152.0,148.5,151.0,20559915
2025-06-30,142.13108825683594,147.5,150.0,147.5,150.0,19218356
2025-07-01,140.20388793945312,145.5,149.0,145.0,147.0,21938561
2025-07-02,141.5,141.5,144.0,138.0,140.5,53257125
2025-07-03,144.0,144.0,148.0,143.0,147.5,35588727
2025-07-04,147.0,147.0,148.0,144.0,145.0,25413248
2025-07-07,144.0,144.0,148.5,143.0,146.5,15095979
2025-07-08,143.0,143.0,144.0,141.5,142.5,8182217
2025-07-09,146.5,146.5,146.5,142.5,143.0,12403324
2025-07-10,150.0,150.0,151.5,145.5,145.5,16282968
2025-07-11,150.0,150.0,151.0,148.0,148.5,11751914
2025-07-14,148.5,148.5,150.5,148.0,149.0,7647831
2025-07-15,150.5,150.5,150.5,146.5,147.0,9082459
2025-07-16,151.0,151.0,153.0,149.0,150.0,12065474
2025-07-17,151.5,151.5,153.0,151.0,151.5,9128480
2025-07-18,154.0,154.0,155.0,153.0,153.5,14593048
2025-07-21,152.5,152.5,153.5,151.5,153.0,10667070
2025-07-22,151.0,151.0,154.5,150.0,151.0,11967753
2025-07-23,153.5,153.5,154.5,152.0,152.0,12115409
2025-07-24,155.5,155.5,155.5,152.5,154.0,11154896
2025-07-25,153.5,153.5,155.0,152.0,154.5,8186736
2025-07-28,154.5,154.5,155.5,153.0,154.0,10521065
2025-07-29,153.5,153.5,155.0,153.5,154.0,5066255
2025-07-30,152.0,152.0,155.0,151.0,154.0,11369185
2025-07-31,152.5,152.5,154.0,149.5,150.5,12360243
2025-08-04,147.5,147.5,148.5,146.0,148.5,18214416
2025-08-05,146.5,146.5,149.0,146.0,148.0,16009304
2025-08-06,145.0,145.0,146.0,144.0,145.0,9637726
2025-08-07,148.0,148.0,149.5,147.0,147.5,12912138
2025-08-08,149.0,149.0,152.0,149.0,150.0,13814308
2025-08-11,151.0,151.0,154.5,149.5,150.5,20357787
2025-08-12,148.0,148.0,152.5,148.0,152.5,13333692
2025-08-13,148.5,148.5,150.5,147.0,150.0,14450464
2025-08-14,148.0,148.0,149.0,147.0,147.5,8382288
2025-08-15,148.0,148.0,149.0,148.0,148.5,6113550
2025-08-18,150.5,150.5,151.0,148.5,149.0,12005230
2025-08-19,148.5,148.5,151.5,148.0,151.0,11328678
2025-08-20,145.0,145.0,148.5,144.0,148.0,13056783
2025-08-21,144.0,144.0,145.5,143.5,144.0,9841867
2025-08-22,143.5,143.5,145.0,143.0,144.0,6568319
2025-08-25,148.5,148.5,149.0,146.5,146.5,8961381
2025-08-26,149.0,149.0,149.5,147.5,148.0,12768133
2025-08-27,150.5,150.5,151.5,150.0,150.0,7870941
2025-08-28,147.5,147.5,150.0,147.0,149.5,10306725
2025-08-29,151.0,151.0,153.5,149.0,149.0,17429107
2025-09-01,156.0,156.0,157.0,151.0,152.0,21629729
2025-09-02,157.0,157.0,160.5,156.0,156.5,28130427
2025-09-03,157.0,157.0,157.0,154.0,156.5,8727603
2025-09-04,154.0,154.0,157.0,153.5,156.5,9807180
2025-09-05,156.0,156.0,156.5,154.5,155.0,6164216
2025-09-08,171.5,171.5,171.5,162.0,166.0,44847886
2025-09-09,167.0,167.0,170.0,164.0,170.0,53127916
2025-09-10,169.0,169.0,172.0,168.5,169.5,26524922
2025-09-11,166.5,166.5,172.0,166.0,170.0,16206693
2025-09-12,167.0,167.0,168.5,165.0,168.0,10835239
2025-09-15,166.5,166.5,168.0,165.0,167.5,8513549
2025-09-16,169.5,169.5,170.5,167.5,168.5,13795437
2025-09-17,169.0,169.0,170.0,167.5,170.0,8772227
2025-09-18,170.0,170.0,173.5,169.0,170.5,19220166
2025-09-19,170.0,170.0,172.5,169.5,171.5,17569255
2025-09-22,172.5,172.5,173.5,169.0,171.5,19664683
2025-09-23,174.5,174.5,177.5,173.5,177.5,26390207
2025-09-24,172.0,172.0,175.5,171.0,175.0,17026096
2025-09-25,172.0,172.0,173.5,170.0,173.0,14585666
2025-09-26,165.5,165.5,170.5,165.5,170.5,15320820
2025-09-30,164.0,164.0,166.5,163.0,166.0,24699831
2025-10-01,163.0,163.0,166.5,162.5,166.0,14064869
2025-10-02,164.5,164.5,166.5,163.5,165.5,15281684
2025-10-03,165.5,165.5,169.0,165.0,166.0,19851462
2025-10-07,173.5,173.5,176.5,168.5,169.0,35702965
