Date,Adj Close,Close,High,Low,Open,Volume
2025-04-16,137.51373291015625,141.0,144.5,140.0,142.0,1550116
2025-04-17,138.97665405273438,142.5,142.5,137.5,139.0,1147477
2025-04-18,136.53846740722656,140.0,143.5,139.5,143.0,1060862
2025-04-21,134.58792114257812,138.0,140.5,137.5,139.0,707572
2025-04-22,131.17445373535156,134.5,139.0,133.5,136.0,1028028
2025-04-23,137.02610778808594,140.5,141.0,138.0,139.0,1103474
2025-04-24,135.07554626464844,138.5,141.0,137.5,141.0,718382
2025-04-25,136.0508270263672,139.5,143.0,139.0,142.0,974350
2025-04-28,137.02610778808594,140.5,141.5,139.0,141.0,589853
2025-04-29,140.9272003173828,144.5,144.5,139.5,142.0,1056433
2025-04-30,138.489013671875,142.0,145.5,141.0,144.0,1063495
2025-05-02,152.14285278320312,156.0,156.0,144.0,144.5,3133883
2025-05-05,166.77198791503906,171.0,171.5,162.5,163.5,19567118
2025-05-06,165.7967071533203,170.0,172.5,166.0,171.5,11300358
2025-05-07,162.38323974609375,166.5,171.0,166.0,170.0,3094536
2025-05-08,161.89561462402344,166.0,169.5,166.0,169.0,2372297
2025-05-09,161.89561462402344,166.0,170.0,163.5,169.0,2923553
2025-05-12,161.40797424316406,165.5,171.0,165.5,166.5,3859099
2025-05-13,160.9203338623047,165.0,168.0,165.0,167.0,2081443
2025-05-14,163.3585205078125,167.5,170.0,165.5,167.0,2252481
2025-05-15,163.3585205078125,167.5,170.0,165.5,168.0,1981090
2025-05-16,179.45054626464844,184.0,184.0,171.5,171.5,17622035
2025-05-19,188.71566772460938,193.5,202.0,185.0,188.0,43186080
2025-05-20,179.45054626464844,184.0,197.5,184.0,194.5,22429804
2025-05-21,176.5247344970703,181.0,183.0,178.5,182.5,6915666
2025-05-22,183.83929443359375,188.5,196.5,181.5,183.5,26343412
2025-05-23,189.69093322753906,194.5,198.0,187.0,190.0,19854924
2025-05-26,182.37637329101562,187.0,195.5,187.0,195.0,11191973
2025-05-27,178.47528076171875,183.0,190.5,182.0,189.5,9379858
2025-05-28,177.5,182.0,186.5,179.5,186.0,5145020
2025-05-29,174.5741729736328,179.0,184.0,176.0,183.5,4660855
2025-06-02,168.7225341796875,173.0,177.5,172.0,176.5,4130531
2025-06-03,167.74725341796875,172.0,177.5,171.5,173.5,3560825
2025-06-04,171.1607208251953,175.5,176.0,172.5,174.5,2692577
2025-06-05,168.23489379882812,172.5,178.0,172.5,174.5,2826815
2025-06-06,168.7225341796875,173.0,176.0,173.0,174.5,1960988
2025-06-09,169.6977996826172,174.0,177.0,173.5,175.0,2359982
2025-06-10,172.62362670898438,177.0,177.5,174.0,175.5,1830346
2025-06-11,176.5247344970703,181.0,184.0,178.5,180.0,6536597
2025-06-12,177.01235961914062,181.5,185.0,179.5,180.0,4505920
2025-06-13,177.01235961914062,181.5,188.0,180.5,181.5,7323219
2025-06-16,179.9381866455078,184.5,184.5,179.5,181.0,3301866
2025-06-17,180.4258270263672,185.0,187.0,183.5,185.5,3899098
2025-06-18,182.37637329101562,187.0,194.0,184.0,184.0,13941557
2025-06-19,178.47528076171875,183.0,189.0,181.5,187.5,4658321
2025-06-20,175.0618133544922,179.5,183.0,178.5,181.5,4181737
2025-06-23,178.47528076171875,183.0,184.0,175.0,176.5,3163332
2025-06-24,179.9381866455078,184.5,187.0,182.0,187.0,4273090
2025-06-25,177.98764038085938,182.5,186.5,182.5,186.5,1727546
2025-06-26,178.96292114257812,183.5,186.0,183.0,184.0,1883070
2025-06-27,179.45054626464844,184.0,189.0,183.5,186.5,5911568
2025-06-30,175.0618133544922,179.5,185.0,179.5,185.0,2161341
2025-07-01,176.03709411621094,180.5,183.0,180.0,180.5,1519575
