Date,Adj Close,Close,High,Low,Open,Volume
2024-04-02,98.85946655273438,105.0,106.0,105.0,106.0,26154
2024-04-03,98.38870239257812,104.5,105.0,104.0,105.0,33200
2024-04-08,96.97642517089844,103.0,104.0,102.0,104.0,66168
2024-04-09,97.44718170166016,103.5,103.5,102.0,103.0,43035
2024-04-10,100.74250030517578,107.0,111.0,106.0,106.0,128000
2024-04-11,100.74250030517578,107.0,108.0,107.0,107.0,8108
2024-04-12,98.85946655273438,105.0,107.0,104.5,107.0,60000
2024-04-15,100.27174377441406,106.5,107.0,105.0,105.0,86161
2024-04-16,100.27174377441406,106.5,106.5,105.5,106.5,69400
2024-04-17,100.74250030517578,107.0,107.5,106.5,107.0,16688
2024-04-18,101.21326446533203,107.5,109.5,107.0,108.0,51030
2024-04-19,100.27174377441406,106.5,107.0,106.5,107.0,36000
2024-04-22,99.80098724365234,106.0,106.5,106.0,106.5,18000
2024-04-23,100.27174377441406,106.5,107.0,106.0,106.0,22000
2024-04-24,100.27174377441406,106.5,107.0,106.0,107.0,71000
2024-04-25,102.15477752685547,108.5,109.0,107.0,107.0,29039
2024-04-26,102.15477752685547,108.5,109.0,108.0,108.0,14500
2024-04-29,101.68402099609375,108.0,109.5,108.0,109.5,12000
2024-04-30,104.50857543945312,111.0,111.0,108.0,108.0,44025
2024-05-02,104.03781127929688,110.5,111.0,109.0,109.5,47040
2024-05-03,102.62553405761719,109.0,111.0,109.0,111.0,39000
2024-05-06,102.62553405761719,109.0,109.5,108.5,109.5,38000
2024-05-07,101.68402099609375,108.0,109.5,106.5,108.5,85400
2024-05-08,101.21326446533203,107.5,107.5,107.0,107.5,16000
2024-05-09,100.74250030517578,107.0,107.0,106.5,107.0,27024
2024-05-10,99.80098724365234,106.0,106.5,104.0,106.5,59000
2024-05-13,98.85946655273438,105.0,105.5,104.5,105.5,197000
2024-05-14,98.85946655273438,105.0,106.0,104.5,106.0,11000
2024-05-15,98.85946655273438,105.0,105.0,103.5,104.5,51000
2024-05-16,99.3302230834961,105.5,105.5,104.5,105.5,35030
2024-05-17,99.3302230834961,105.5,105.5,105.0,105.5,7000
2024-05-20,99.3302230834961,105.5,106.5,105.5,106.5,23000
2024-05-21,100.27174377441406,106.5,107.0,106.0,107.0,30000
2024-05-22,100.74250030517578,107.0,108.0,106.0,106.0,14000
2024-05-23,101.21326446533203,107.5,109.0,107.0,108.5,18000
2024-05-24,101.21326446533203,107.5,108.5,107.5,108.5,8000
2024-05-27,101.21326446533203,107.5,108.0,107.0,108.0,25004
2024-05-28,100.74250030517578,107.0,107.0,107.0,107.0,4173
2024-05-29,101.21326446533203,107.5,108.0,107.0,108.0,7000
2024-05-30,100.27174377441406,106.5,107.0,106.5,107.0,4000
2024-05-31,100.74250030517578,107.0,107.5,106.5,106.5,13000
2024-06-03,101.21326446533203,107.5,108.0,107.0,107.5,24000
2024-06-04,102.62553405761719,109.0,109.5,108.0,108.0,27000
2024-06-05,102.15477752685547,108.5,109.0,108.0,109.0,13000
2024-06-06,101.21326446533203,107.5,108.5,107.5,108.5,18000
2024-06-07,100.74250030517578,107.0,108.0,107.0,107.5,7030
2024-06-11,99.80098724365234,106.0,107.0,106.0,107.0,17000
2024-06-12,104.97933197021484,111.5,116.5,107.5,108.0,130000
2024-06-13,104.50857543945312,111.0,113.5,110.5,113.0,58000
2024-06-14,103.09629821777344,109.5,110.0,109.0,110.0,67027
2024-06-17,102.62553405761719,109.0,109.5,108.5,109.0,31000
2024-06-18,101.68402099609375,108.0,109.5,108.0,109.0,49091
2024-06-19,103.09629821777344,109.5,110.0,108.5,108.5,44000
2024-06-20,103.56705474853516,110.0,110.0,109.0,109.5,26000
2024-06-21,104.50857543945312,111.0,111.5,109.5,109.5,42104
2024-06-24,104.03781127929688,110.5,112.5,110.0,112.0,40000
2024-06-25,103.56705474853516,110.0,112.0,109.0,112.0,48000
2024-06-26,103.56705474853516,110.0,110.0,109.5,110.0,21000
2024-06-27,103.09629821777344,109.5,110.0,109.0,109.5,16000
2024-06-28,105.45008850097656,112.0,112.0,109.5,109.5,75000
2024-07-01,104.03781127929688,110.5,111.5,110.5,111.0,16000
2024-07-02,103.09629821777344,109.5,111.5,109.5,111.5,13020
2024-07-03,103.56705474853516,110.0,110.5,110.0,110.0,6020
2024-07-04,103.56705474853516,110.0,110.0,109.5,110.0,9000
2024-07-05,104.03781127929688,110.5,111.0,110.0,110.0,7020
2024-07-08,103.56705474853516,110.0,111.5,110.0,110.5,33800
2024-07-09,104.50857543945312,111.0,112.5,110.0,110.0,45000
2024-07-10,101.68402099609375,108.0,109.0,107.0,108.5,58020
2024-07-11,100.74250030517578,107.0,108.0,106.5,108.0,16047
2024-07-12,100.27174377441406,106.5,107.0,106.0,106.0,26020
2024-07-15,100.27174377441406,106.5,107.0,106.5,107.0,7153
2024-07-16,100.27174377441406,106.5,106.5,106.5,106.5,2000
2024-07-17,100.27174377441406,106.5,107.0,106.0,106.5,31000
2024-07-18,99.80098724365234,106.0,106.0,106.0,106.0,15000
2024-07-19,100.27174377441406,106.5,108.0,106.0,106.0,18100
2024-07-22,100.27174377441406,106.5,106.5,106.0,106.5,14050
2024-07-23,100.27174377441406,106.5,106.5,106.0,106.5,19000
2024-07-26,102.22826385498047,104.5,104.5,103.0,103.5,12200
2024-07-29,102.22826385498047,104.5,104.5,101.5,103.0,27500
2024-07-30,101.73912811279297,104.0,104.5,103.5,104.5,5000
2024-07-31,102.22826385498047,104.5,104.5,103.0,103.0,23000
2024-08-01,102.22826385498047,104.5,105.0,104.5,104.5,17000
2024-08-02,99.2934799194336,101.5,103.5,101.5,103.5,36000
