Date,Adj Close,Close,High,Low,Open,Volume
2024-06-25,278.0019226074219,300.0,301.0,251.0,251.0,3910567
2024-06-26,261.78515625,282.5,306.0,280.5,305.0,2060696
2024-06-27,222.86488342285156,240.5,275.0,240.5,272.5,1907520
2024-06-28,246.4950408935547,266.0,267.0,241.5,249.0,1180901
2024-07-01,232.59495544433594,251.0,263.0,251.0,259.0,694233
2024-07-02,240.9350128173828,260.0,273.5,247.0,248.0,745855
2024-07-03,235.8383026123047,254.5,258.5,250.0,254.5,435526
2024-07-04,232.13162231445312,250.5,261.5,243.0,252.5,457036
2024-07-05,221.01153564453125,238.5,250.5,225.5,250.5,1087443
2024-07-08,222.40155029296875,240.0,243.5,228.5,239.0,875966
2024-07-09,210.35479736328125,227.0,238.0,225.5,236.0,619484
2024-07-10,200.16139221191406,216.0,227.0,213.5,227.0,600712
2024-07-11,202.94140625,219.0,225.5,218.0,219.5,468178
2024-07-12,199.69805908203125,215.5,219.5,215.0,216.0,251154
2024-07-15,199.23472595214844,215.0,219.0,215.0,215.5,182936
2024-07-16,208.50144958496094,225.0,225.0,213.5,216.5,315130
2024-07-17,229.35159301757812,247.5,247.5,227.0,229.0,1168399
2024-07-18,239.0816650390625,258.0,262.5,230.5,236.0,1262347
2024-07-19,221.01153564453125,238.5,256.5,238.0,256.5,457642
2024-07-22,202.94140625,219.0,238.0,215.0,237.0,603111
2024-07-23,203.40475463867188,219.5,223.5,217.0,217.5,258588
2024-07-26,199.69805908203125,215.5,217.0,210.0,210.0,246069
2024-07-29,199.23472595214844,215.0,219.0,212.5,218.0,121672
2024-07-30,202.94140625,219.0,220.0,207.5,215.0,290088
2024-07-31,221.01153564453125,238.5,240.5,216.5,219.0,789650
2024-08-01,218.69485473632812,236.0,244.0,232.0,241.0,473262
2024-08-02,216.8415069580078,234.0,242.0,227.0,235.0,273859
2024-08-05,206.64810180664062,223.0,232.0,213.5,227.5,675552
2024-08-06,210.35479736328125,227.0,228.0,215.0,228.0,292235
2024-08-07,221.01153564453125,238.5,241.5,225.0,228.0,252897
2024-08-08,227.9615936279297,246.0,253.0,236.5,238.5,520740
2024-08-09,240.00833129882812,259.0,262.0,244.0,246.5,756695
2024-08-12,257.6151123046875,278.0,280.0,262.5,274.0,1149885
2024-08-13,252.9817657470703,273.0,280.5,262.5,277.0,793534
2024-08-14,254.37176513671875,274.5,276.5,270.5,275.0,465461
2024-08-15,252.51841735839844,272.5,275.0,266.5,274.5,305335
2024-08-16,249.7384033203125,269.5,274.0,262.0,274.0,468806
2024-08-19,253.44509887695312,273.5,274.5,265.0,265.0,251947
2024-08-20,262.2485046386719,283.0,288.0,273.0,274.5,643729
2024-08-21,262.2485046386719,283.0,284.0,275.0,281.0,241394
2024-08-22,258.0784606933594,278.5,282.5,276.5,281.5,143888
2024-08-23,245.56837463378906,265.0,278.5,256.0,278.5,697967
2024-08-26,234.44830322265625,253.0,261.0,250.0,261.0,688630
2024-08-27,233.98495483398438,252.5,255.5,248.0,252.0,287460
2024-08-28,247.42172241210938,267.0,273.0,251.0,251.0,917186
2024-08-29,240.00833129882812,259.0,267.5,257.5,264.0,389571
2024-08-30,239.0816650390625,258.0,259.0,252.0,258.0,256470
2024-09-02,262.7118225097656,283.5,283.5,258.0,258.0,1082794
2024-09-03,273.3685607910156,295.0,296.0,277.0,282.0,1044709
2024-09-04,265.02850341796875,286.0,288.5,277.5,278.5,483025
2024-09-05,256.6884460449219,277.0,284.5,272.5,284.5,446676
2024-09-06,252.05508422851562,272.0,280.0,272.0,277.0,163173
2024-09-09,245.56837463378906,265.0,268.0,259.5,264.0,288293
2024-09-10,231.66827392578125,250.0,270.5,246.0,265.5,685960
2024-09-11,225.6448974609375,243.5,249.0,236.0,242.0,438340
2024-09-12,224.71823120117188,242.5,246.5,239.5,246.5,271910
2024-09-13,224.25489807128906,242.0,246.0,240.0,241.0,235401
2024-09-16,224.71823120117188,242.5,250.5,241.5,242.0,214258
2024-09-18,225.1815643310547,243.0,248.5,240.0,242.0,231826
