Date,Close,High,Low,Open,Volume
2025-04-02,38.9252815246582,39.48941458404782,38.690225485467444,38.97229201516225,18742921
2025-04-07,35.07036209106445,35.07036209106445,35.07036209106445,35.07036209106445,11564422
2025-04-08,34.55323791503906,34.835304445990985,33.518992772658486,33.56600326337205,56649155
2025-04-09,31.497509002685547,34.69427254508899,31.497509002685547,34.08312541335376,64864133
2025-04-10,34.64725875854492,34.64725875854492,34.64725875854492,34.64725875854492,6864598
2025-04-11,38.079078674316406,38.079078674316406,33.37795785032672,33.37795785032672,81043847
2025-04-14,37.98505783081055,40.89975131762849,37.98505783081055,40.147572700385524,101000715
2025-04-15,37.79701232910156,38.50218045618677,37.65597726901629,37.65597726901629,34104401
2025-04-16,37.60896682739258,38.26712446420606,37.4209212759215,37.797012378863656,29214409
2025-04-17,36.856788635253906,37.51494627969374,36.71575357334872,37.467932201278266,22375299
2025-04-18,37.23287582397461,37.561956436596276,36.7157532460498,36.950809289349316,22925140
2025-04-21,36.15161895751953,37.18586407848734,36.15161895751953,36.85678706363498,14956296
2025-04-22,35.39944076538086,36.38667540786743,35.39944076538086,35.72851778398621,17882733
2025-04-23,37.27988815307617,37.60896516358941,36.104607991714,36.104607991714,25945622
2025-04-24,36.66874313354492,37.37391127072848,36.66874313354492,37.185865716812074,15161766
2025-04-25,36.38667678833008,37.326900976211114,36.38667678833008,37.232876405420626,16931046
2025-04-28,36.29265213012695,36.574722255148394,36.057596083722835,36.48069768458437,14461671
2025-04-29,36.24563980102539,36.33966436682366,35.86955229784365,36.104608332333655,19537210
2025-04-30,36.198631286621094,36.292652270879124,35.775529684118666,36.245641778750105,25209029
2025-05-02,36.66874313354492,37.044834241377735,36.10461005846633,36.33966610419418,29025791
2025-05-05,38.69022750854492,39.301371090394746,38.126090832986584,38.784248494469296,85038868
2025-05-06,40.75871658325195,42.02802137249058,38.92528230991382,39.01930329281864,165891760
2025-05-07,40.24159240722656,41.13480605606375,39.95952588303336,40.71170447643872,69942742
2025-05-08,40.805728912353516,41.040784946211154,40.147571300218054,40.241592279092934,35340577
2025-05-09,40.899749755859375,41.18181627822087,40.61768323349788,40.805728777295684,34083177
2025-05-12,40.85274124145508,41.322853330340244,40.61768519701249,41.181818269006456,23278028
2025-05-13,41.13480758666992,41.46388461269505,40.61768500862876,41.087797095333556,28974055
2025-05-14,40.194583892822266,40.946762523190074,39.865506862870916,40.946762523190074,71498350
2025-05-15,40.61768341064453,40.711704389618276,40.05354677679073,40.28860281089554,27649705
2025-05-16,40.805728912353516,41.839974026658936,40.523658802388006,40.617683367933324,44137483
