Ticker SYMBOL,公司名稱,產業類別,產業類別名稱
1101.TW,臺灣水泥股份有限公司,1,水泥工業
1102.TW,亞洲水泥股份有限公司,1,水泥工業
1103.TW,嘉新水泥股份有限公司,1,水泥工業
1104.TW,環球水泥股份有限公司,1,水泥工業
1108.TW,幸福水泥股份有限公司,1,水泥工業
1109.TW,信大水泥股份有限公司,1,水泥工業
1110.TW,東南水泥股份有限公司,1,水泥工業
1201.TW,味全食品工業股份有限公司,2,食品工業
1203.TW,味王股份有限公司,2,食品工業
1210.TW,大成長城企業股份有限公司,2,食品工業
1213.TW,大西洋飲料股份有限公司,2,食品工業
1215.TW,台灣卜蜂企業股份有限公司,2,食品工業
1216.TW,統一企業股份有限公司,2,食品工業
1217.TW,愛之味股份有限公司,2,食品工業
1218.TW,泰山企業股份有限公司,2,食品工業
1219.TW,福壽實業股份有限公司,2,食品工業
1220.TW,台榮產業股份有限公司,2,食品工業
1225.TW,福懋油脂股份有限公司,2,食品工業
1227.TW,佳格食品股份有限公司,2,食品工業
1229.TW,聯華實業控股股份有限公司,2,食品工業
1231.TW,聯華食品工業股份有限公司,2,食品工業
1232.TW,大統益股份有限公司,2,食品工業
1233.TW,天仁茶業股份有限公司,2,食品工業
1234.TW,黑松股份有限公司,2,食品工業
1235.TW,興泰實業股份有限公司,2,食品工業
1236.TW,宏亞食品股份有限公司,2,食品工業
1256.TW,鮮活控股股份有限公司,2,食品工業
1301.TW,台灣塑膠工業股份有限公司,3,塑膠工業
1303.TW,南亞塑膠工業股份有限公司,3,塑膠工業
1304.TW,台灣聚合化學品股份有限公司,3,塑膠工業
1305.TW,華夏海灣塑膠股份有限公司,3,塑膠工業
1307.TW,三芳化學工業股份有限公司,3,塑膠工業
1308.TW,亞洲聚合股份有限公司,3,塑膠工業
1309.TW,台達化學工業股份有限公司,3,塑膠工業
1310.TW,台灣苯乙烯工業股份有限公司,3,塑膠工業
1312.TW,國喬石油化學股份有限公司,3,塑膠工業
1313.TW,聯成化學科技股份有限公司,3,塑膠工業
