Ticker SYMBOL,公司名稱,產業類別,產業類別名稱,資料年月日,單月營收年增率(%)
4960.TW,誠美材料科技股份有限公司,26,光電業,2026-03-01,-23.86
4961.TW,天鈺科技股份有限公司,24,半導體業,2026-03-01,2.06
4967.TW,十銓科技股份有限公司,24,半導體業,2026-03-01,120.49
4968.TW,立積電子股份有限公司,24,半導體業,2026-03-01,3.33
4976.TW,佳凌科技股份有限公司,26,光電業,2026-03-01,0.68
4977.TW,眾達科技股份有限公司,27,通信網路業,2026-03-01,-19.39
4989.TW,李長榮科技股份有限公司,28,電子零組件業,2026-03-01,53.99
4994.TW,傳奇網路遊戲股份有限公司,30,資訊服務業,2026-03-01,22.9
4999.TW,鑫禾科技股份有限公司,28,電子零組件業,2026-03-01,-13.9
5007.TW,三星科技股份有限公司,10,鋼鐵工業,2026-03-01,-7.07
5203.TW,訊連科技股份有限公司,30,資訊服務業,2026-03-01,0.34
5215.TW,科嘉(開曼)股份有限公司,25,電腦及週邊設備業,2026-03-01,17.16
5222.TW,全訊科技股份有限公司,24,半導體業,2026-03-01,-76.72
5225.TW,東科控股股份有限公司,31,其他電子業,2026-03-01,-2.25
5234.TW,達興材料股份有限公司,26,光電業,2026-03-01,5.52
5243.TW,乙盛精密工業股份有限公司,26,光電業,2026-03-01,-3.17
5244.TW,弘凱光電股份有限公司,26,光電業,2026-03-01,-18.76
5258.TW,虹堡科技股份有限公司,25,電腦及週邊設備業,2026-03-01,19.07
5269.TW,祥碩科技股份有限公司,24,半導體業,2026-03-01,39.89
5283.TW,禾聯碩股份有限公司,6,電器電纜,2026-03-01,-1.42
5284.TW,經寶精密控股股份有限公司,20,其他業,2026-03-01,47.49
5285.TW,界霖科技股份有限公司,24,半導體業,2026-03-01,-2.75
5288.TW,開曼商豐祥控股股份有限公司,5,電機機械,2026-03-01,23.06
5292.TW,華懋科技股份有限公司,35,綠能環保,2026-03-01,-0.54
5306.TW,桂盟國際股份有限公司,37,運動休閒,2026-03-01,0.99
5388.TW,中磊電子股份有限公司,27,通信網路業,2026-03-01,86.55
5434.TW,崇越科技股份有限公司,29,電子通路業,2026-03-01,30.64
5469.TW,瀚宇博德股份有限公司,28,電子零組件業,2026-03-01,47.37
5471.TW,松翰科技股份有限公司,24,半導體業,2026-03-01,24.01
5484.TW,慧友電子股份有限公司,26,光電業,2026-03-01,16.3
5515.TW,建國工程股份有限公司,14,建材營造業,2026-03-01,84.03
5519.TW,隆大營建事業股份有限公司,14,建材營造業,2026-03-01,-6.88
5521.TW,工信工程股份有限公司,14,建材營造業,2026-03-01,18.33
5522.TW,遠雄建設事業股份有限公司,14,建材營造業,2026-03-01,16.55
5525.TW,順天建設股份有限公司,14,建材營造業,2026-03-01,1247.87
5531.TW,鄉林建設事業股份有限公司,14,建材營造業,2026-03-01,39.05
5533.TW,皇鼎建設開發股份有限公司,14,建材營造業,2026-03-01,61.27
5534.TW,長虹建設股份有限公司,14,建材營造業,2026-03-01,-5.83
5538.TW,開曼東明控股股份有限公司,10,鋼鐵工業,2026-03-01,-1.44
5546.TW,永固集團股份有限公司,14,建材營造業,2026-03-01,-66.68
5607.TW,遠雄自貿港投資控股股份有限公司,15,航運業,2026-03-01,38.85
5608.TW,四維航業股份有限公司,15,航運業,2026-03-01,6.09
5706.TW,鳳凰國際旅行社股份有限公司,16,觀光餐旅,2026-03-01,-21.29
5871.TW,中租控股股份有限公司,20,其他業,2026-03-01,-2.86
5876.TW,上海商業儲蓄銀行股份有限公司,17,金融保險業,2026-03-01,-3.23
5880.TW,合作金庫金融控股股份有限公司,17,金融保險業,2026-03-01,5.33
5906.TW,台南生活(開曼)股份有限公司,18,貿易百貨業,2026-03-01,-7.16
5907.TW,Grand Ocean RetailGroupLimited,18,貿易百貨業,2026-03-01,-12.82
6005.TW,群益金鼎證券股份有限公司,17,金融保險業,2026-03-01,53.34
6024.TW,群益期貨股份有限公司,17,金融保險業,2026-03-01,33.63
6108.TW,競國實業股份有限公司,28,電子零組件業,2026-03-01,22.42
6112.TW,邁達特數位股份有限公司,30,資訊服務業,2026-03-01,40.12
6115.TW,鎰勝工業股份有限公司,28,電子零組件業,2026-03-01,4.55
6116.TW,瀚宇彩晶股份有限公司,26,光電業,2026-03-01,10.06
6117.TW,迎廣科技股份有限公司,25,電腦及週邊設備業,2026-03-01,31.53
6120.TW,達運精密工業股份有限公司,26,光電業,2026-03-01,8.41
6128.TW,上福全球科技股份有限公司,25,電腦及週邊設備業,2026-03-01,2.55
6133.TW,金橋科技股份有限公司,28,電子零組件業,2026-03-01,-1.12
6136.TW,富爾特科技股份有限公司,27,通信網路業,2026-03-01,46.58
6139.TW,亞翔工程股份有限公司,31,其他電子業,2026-03-01,47.45
6141.TW,柏承科技股份有限公司,28,電子零組件業,2026-03-01,9.42
