Ticker SYMBOL,公司名稱,產業類別,資料年月日,單月營收年增率(%)
1474.TW,弘裕企業股份有限公司,4,2026-02-01,-40.89
1475.TW,台灣業旺股份有限公司,4,2026-02-01,-39.77
1476.TW,儒鴻企業股份有限公司,4,2026-02-01,-7.36
1477.TW,聚陽實業股份有限公司,4,2026-02-01,-1.06
1503.TW,士林電機廠股份有限公司,5,2026-02-01,-2.62
1504.TW,東元電機股份有限公司,5,2026-02-01,-0.16
1506.TW,正道工業股份有限公司,5,2026-02-01,19.5
1512.TW,瑞利企業股份有限公司,12,2026-02-01,77.18
1513.TW,中興電工機械股份有限公司,5,2026-02-01,-12.81
1514.TW,亞力電機股份有限公司,5,2026-02-01,14.5
1515.TW,力山工業股份有限公司,5,2026-02-01,20.37
1516.TW,川飛能源股份有限公司,20,2026-02-01,69.0
1517.TW,利奇機械工業股份有限公司,5,2026-02-01,-42.15
1519.TW,華城電機股份有限公司,5,2026-02-01,15.88
1521.TW,大億交通工業製造股份有限公司,12,2026-02-01,-10.14
1522.TW,堤維西交通工業股份有限公司,12,2026-02-01,24.35
1524.TW,耿鼎企業股份有限公司,12,2026-02-01,-40.85
1525.TW,江申工業股份有限公司,12,2026-02-01,-9.32
1526.TW,日馳企業股份有限公司,5,2026-02-01,-41.48
1527.TW,鑽全實業股份有限公司,5,2026-02-01,-45.82
1528.TW,恩德科技股份有限公司,5,2026-02-01,18.56
1529.TW,樂事綠能科技股份有限公司,5,2026-02-01,-50.54
1530.TW,亞崴機電股份有限公司,5,2026-02-01,-23.74
1531.TW,高林股份有限公司,5,2026-02-01,-10.25
1532.TW,勤美股份有限公司,5,2026-02-01,16.24
1533.TW,車王電子股份有限公司,12,2026-02-01,80.74
1535.TW,中宇環保工程股份有限公司,5,2026-02-01,-2.58
1536.TW,和大工業股份有限公司,12,2026-02-01,-33.8
1537.TW,廣隆光電科技股份有限公司,5,2026-02-01,8.93
1538.TW,正峰工業股份有限公司,5,2026-02-01,-81.41
1539.TW,巨庭機械股份有限公司,5,2026-02-01,-6.54
1540.TW,喬福機械工業股份有限公司,5,2026-02-01,-24.49
1541.TW,錩泰工業股份有限公司,5,2026-02-01,2.42
1558.TW,伸興工業股份有限公司,5,2026-02-01,-15.59
1560.TW,中國砂輪企業股份有限公司,5,2026-02-01,24.35
