日期,Ticker SYMBOL,外資買賣超,投信買賣超,自營商買賣超,三大法人合計,資料來源
2026-04-08,2303.TW,-3930796.0,23958913.0,317891.0,20346008.0,FinMind
2026-04-09,2303.TW,-3336167.0,2932202.0,166071.0,-237894.0,FinMind
2026-04-10,2303.TW,23681756.0,-116455.0,4669552.0,28234853.0,FinMind
2026-04-13,2303.TW,-50562008.0,20374587.0,-1902455.0,-32089876.0,FinMind
2026-04-07,2308.TW,3600615.0,-14195.0,302115.0,3888535.0,FinMind
2026-04-08,2308.TW,3910159.0,-32964.0,448887.0,4326082.0,FinMind
2026-04-09,2308.TW,1053431.0,-97953.0,871468.0,1826946.0,FinMind
2026-04-10,2308.TW,581401.0,25109.0,250407.0,856917.0,FinMind
2026-04-13,2308.TW,-247239.0,-310456.0,34800.0,-522895.0,FinMind
2026-04-07,2382.TW,469106.0,420820.0,243247.0,1133173.0,FinMind
2026-04-08,2382.TW,33610909.0,218982.0,2354594.0,36184485.0,FinMind
2026-04-09,2382.TW,14888939.0,419627.0,-436388.0,14872178.0,FinMind
2026-04-10,2382.TW,11030247.0,1344974.0,585451.0,12960672.0,FinMind
2026-04-13,2382.TW,-239269.0,249690.0,-68990.0,-58569.0,FinMind
2026-04-07,2408.TW,3095605.0,-464054.0,677657.0,3309208.0,FinMind
2026-04-08,2408.TW,4348026.0,241228.0,915982.0,5505236.0,FinMind
2026-04-09,2408.TW,-33225138.0,-789991.0,-990137.0,-35005266.0,FinMind
2026-04-10,2408.TW,18152083.0,-262325.0,1101799.0,18991557.0,FinMind
2026-04-13,2408.TW,8798111.0,-180882.0,2373481.0,10990710.0,FinMind
2026-04-07,2882.TW,-4385765.0,4778943.0,-280183.0,112995.0,FinMind
2026-04-08,2882.TW,4848078.0,2575595.0,757923.0,8181596.0,FinMind
2026-04-09,2882.TW,-1652310.0,2320399.0,61871.0,729960.0,FinMind
2026-04-10,2882.TW,-6756557.0,1214691.0,126627.0,-5415239.0,FinMind
2026-04-13,2882.TW,-2623828.0,-3874715.0,-11051.0,-6509594.0,FinMind
2026-04-07,2891.TW,-7754303.0,12106536.0,1002634.0,5354867.0,FinMind
