Ticker,Direction,Regime,Structure,AI_Proba,Hist_WinRate,EV,Kelly_Pos,Score,Risk,Health
3041.TW,做空(Short),區間盤整,空方進場,0.5692,0.41,-0.18,0.0207,0.5055,樣本數不足 (0/10)，熱身中,KEEP
2417.TW,做空(Short),趨勢空頭,空方進場,0.5691,0.41,-0.18,0.0207,0.5054,樣本數不足 (0/10)，熱身中,KEEP
9902.TW,做空(Short),趨勢空頭,空方進場,0.569,0.47,-0.06,0.0207,0.5294,樣本數不足 (0/10)，熱身中,KEEP
3593.TW,做空(Short),趨勢空頭,空方進場,0.5689,0.44,-0.12,0.0207,0.5173,樣本數不足 (0/10)，熱身中,KEEP
4590.TW,做空(Short),區間盤整,空方進場,0.5686,0.5,0.0,0.0206,0.5411,樣本數不足 (0/10)，熱身中,KEEP
8070.TW,做空(Short),區間盤整,空方進場,0.5685,0.41,-0.18,0.0206,0.5051,樣本數不足 (0/10)，熱身中,KEEP
2233.TW,做空(Short),區間盤整,空方進場,0.5684,0.41,-0.18,0.0205,0.505,樣本數不足 (0/10)，熱身中,KEEP
2883.TW,做多(Long),區間盤整,多方進場,0.5459,0.59,0.18,0.0205,0.5635,樣本數不足 (0/10)，熱身中,KEEP
1303.TW,做空(Short),區間盤整,空方進場,0.568,0.41,-0.18,0.0204,0.5048,樣本數不足 (0/10)，熱身中,KEEP
2457.TW,做空(Short),趨勢空頭,空方進場,0.5679,0.5,0.0,0.0204,0.5407,樣本數不足 (0/10)，熱身中,KEEP
2228.TW,做空(Short),趨勢空頭,空方進場,0.5679,0.41,-0.18,0.0204,0.5048,樣本數不足 (0/10)，熱身中,KEEP
4746.TW,做多(Long),區間盤整,多方進場,0.5529,0.56,0.12,0.0204,0.5557,樣本數不足 (0/10)，熱身中,KEEP
2365.TW,做空(Short),趨勢空頭,空方進場,0.5678,0.41,-0.18,0.0203,0.5047,樣本數不足 (0/10)，熱身中,KEEP
8466.TW,做空(Short),趨勢空頭,空方進場,0.5671,0.47,-0.06,0.0201,0.5283,樣本數不足 (0/10)，熱身中,KEEP
2387.TW,做空(Short),趨勢空頭,空方進場,0.5671,0.38,-0.24,0.0201,0.4923,樣本數不足 (0/10)，熱身中,KEEP
6706.TW,做多(Long),區間盤整,多方進場,0.5519,0.56,0.12,0.0201,0.5552,樣本數不足 (0/10)，熱身中,KEEP
6243.TW,做空(Short),趨勢空頭,空方進場,0.5667,0.47,-0.06,0.02,0.528,樣本數不足 (0/10)，熱身中,KEEP
2530.TW,做空(Short),區間盤整,空方進場,0.5665,0.44,-0.12,0.0199,0.5159,樣本數不足 (0/10)，熱身中,KEEP
2612.TW,做空(Short),趨勢空頭,空方進場,0.566,0.41,-0.18,0.0198,0.5036,樣本數不足 (0/10)，熱身中,KEEP
6192.TW,做空(Short),區間盤整,空方進場,0.566,0.41,-0.18,0.0198,0.5036,樣本數不足 (0/10)，熱身中,KEEP
2382.TW,做空(Short),區間盤整,空方進場,0.5659,0.41,-0.18,0.0198,0.5035,樣本數不足 (0/10)，熱身中,KEEP
2367.TW,做空(Short),趨勢空頭,空方進場,0.5659,0.35,-0.3,0.0198,0.4795,樣本數不足 (0/10)，熱身中,KEEP
2250.TW,做多(Long),區間盤整,多方進場,0.551,0.56,0.12,0.0198,0.5546,樣本數不足 (0/10)，熱身中,KEEP
4912.TW,做空(Short),區間盤整,空方進場,0.5658,0.44,-0.12,0.0197,0.5155,樣本數不足 (0/10)，熱身中,KEEP
2911.TW,做空(Short),區間盤整,空方進場,0.5653,0.47,-0.06,0.0196,0.5272,樣本數不足 (0/10)，熱身中,KEEP
1419.TW,做空(Short),趨勢空頭,空方進場,0.565,0.38,-0.24,0.0195,0.491,樣本數不足 (0/10)，熱身中,KEEP
3004.TW,做空(Short),趨勢空頭,空方進場,0.5649,0.41,-0.18,0.0195,0.5029,樣本數不足 (0/10)，熱身中,KEEP
2425.TW,做空(Short),趨勢空頭,空方進場,0.5648,0.47,-0.06,0.0194,0.5269,樣本數不足 (0/10)，熱身中,KEEP
6197.TW,做空(Short),趨勢空頭,空方進場,0.5645,0.41,-0.18,0.0194,0.5027,樣本數不足 (0/10)，熱身中,KEEP
2006.TW,做多(Long),趨勢空頭,多方進場,0.5572,0.53,0.06,0.0194,0.5463,樣本數不足 (0/10)，熱身中,KEEP
2340.TW,做多(Long),趨勢空頭,多方進場,0.5571,0.53,0.06,0.0194,0.5463,樣本數不足 (0/10)，熱身中,KEEP
6854.TW,做空(Short),趨勢空頭,空方進場,0.5635,0.47,-0.06,0.0191,0.5261,樣本數不足 (0/10)，熱身中,KEEP
1519.TW,做空(Short),趨勢空頭,空方進場,0.5635,0.38,-0.24,0.0191,0.4901,樣本數不足 (0/10)，熱身中,KEEP
6957.TW,做多(Long),趨勢空頭,多方進場,0.5559,0.53,0.06,0.019,0.5456,樣本數不足 (0/10)，熱身中,KEEP
7722.TW,做空(Short),趨勢空頭,空方進場,0.5558,0.53,0.06,0.019,0.5455,樣本數不足 (0/10)，熱身中,KEEP
3530.TW,做多(Long),區間盤整,多方進場,0.5557,0.53,0.06,0.019,0.5454,樣本數不足 (0/10)，熱身中,KEEP
