Ticker,Preferred_Period,Preferred_Interval,Preferred_Provider,Target_File
1416.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1416.TW_ohlcv.csv
1417.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1417.TW_ohlcv.csv
1418.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1418.TW_ohlcv.csv
1419.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1419.TW_ohlcv.csv
1423.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1423.TW_ohlcv.csv
1432.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1432.TW_ohlcv.csv
1434.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1434.TW_ohlcv.csv
1435.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1435.TW_ohlcv.csv
1436.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1436.TW_ohlcv.csv
1437.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1437.TW_ohlcv.csv
1439.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1439.TW_ohlcv.csv
1440.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1440.TW_ohlcv.csv
1441.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1441.TW_ohlcv.csv
1442.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1442.TW_ohlcv.csv
1443.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1443.TW_ohlcv.csv
1444.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1444.TW_ohlcv.csv
1445.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1445.TW_ohlcv.csv
1446.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1446.TW_ohlcv.csv
1447.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1447.TW_ohlcv.csv
1449.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1449.TW_ohlcv.csv
1451.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1451.TW_ohlcv.csv
1452.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1452.TW_ohlcv.csv
1453.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1453.TW_ohlcv.csv
1454.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1454.TW_ohlcv.csv
1455.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1455.TW_ohlcv.csv
1456.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1456.TW_ohlcv.csv
1457.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1457.TW_ohlcv.csv
1459.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1459.TW_ohlcv.csv
1460.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1460.TW_ohlcv.csv
1463.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1463.TW_ohlcv.csv
1464.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1464.TW_ohlcv.csv
1465.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1465.TW_ohlcv.csv
1466.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1466.TW_ohlcv.csv
1467.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1467.TW_ohlcv.csv
1468.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1468.TW_ohlcv.csv
1470.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1470.TW_ohlcv.csv
1471.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1471.TW_ohlcv.csv
1472.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1472.TW_ohlcv.csv
1473.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1473.TW_ohlcv.csv
1474.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1474.TW_ohlcv.csv
1475.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1475.TW_ohlcv.csv
1476.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1476.TW_ohlcv.csv
1477.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1477.TW_ohlcv.csv
1503.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1503.TW_ohlcv.csv
1504.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1504.TW_ohlcv.csv
1506.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1506.TW_ohlcv.csv
1512.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1512.TW_ohlcv.csv
1513.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1513.TW_ohlcv.csv
1514.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1514.TW_ohlcv.csv
1515.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1515.TW_ohlcv.csv
1516.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1516.TW_ohlcv.csv
1517.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1517.TW_ohlcv.csv
1519.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1519.TW_ohlcv.csv
1521.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1521.TW_ohlcv.csv
1522.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1522.TW_ohlcv.csv
1524.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1524.TW_ohlcv.csv
1525.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1525.TW_ohlcv.csv
1526.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1526.TW_ohlcv.csv
1527.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1527.TW_ohlcv.csv
1528.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1528.TW_ohlcv.csv
1529.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1529.TW_ohlcv.csv
1530.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1530.TW_ohlcv.csv
1531.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1531.TW_ohlcv.csv
1532.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1532.TW_ohlcv.csv
1533.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1533.TW_ohlcv.csv
1535.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1535.TW_ohlcv.csv
1536.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1536.TW_ohlcv.csv
1537.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1537.TW_ohlcv.csv
1538.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1538.TW_ohlcv.csv
1539.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1539.TW_ohlcv.csv
1540.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1540.TW_ohlcv.csv
1541.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1541.TW_ohlcv.csv
1558.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1558.TW_ohlcv.csv
1560.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1560.TW_ohlcv.csv
1563.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1563.TW_ohlcv.csv
1568.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1568.TW_ohlcv.csv
1582.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1582.TW_ohlcv.csv
1583.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1583.TW_ohlcv.csv
1587.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1587.TW_ohlcv.csv
1589.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1589.TW_ohlcv.csv
1590.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1590.TW_ohlcv.csv
1597.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1597.TW_ohlcv.csv
1598.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1598.TW_ohlcv.csv
1603.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1603.TW_ohlcv.csv
