Ticker,Preferred_Period,Preferred_Interval,Preferred_Provider,Target_File
2211.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2211.TW_ohlcv.csv
2227.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2227.TW_ohlcv.csv
2228.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2228.TW_ohlcv.csv
2231.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2231.TW_ohlcv.csv
2233.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2233.TW_ohlcv.csv
2236.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2236.TW_ohlcv.csv
2239.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2239.TW_ohlcv.csv
2241.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2241.TW_ohlcv.csv
2243.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2243.TW_ohlcv.csv
2247.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2247.TW_ohlcv.csv
2248.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2248.TW_ohlcv.csv
2250.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2250.TW_ohlcv.csv
2254.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2254.TW_ohlcv.csv
2258.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2258.TW_ohlcv.csv
2301.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2301.TW_ohlcv.csv
2302.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2302.TW_ohlcv.csv
2303.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2303.TW_ohlcv.csv
2305.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2305.TW_ohlcv.csv
2308.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2308.TW_ohlcv.csv
2312.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2312.TW_ohlcv.csv
2313.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2313.TW_ohlcv.csv
2314.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2314.TW_ohlcv.csv
2316.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2316.TW_ohlcv.csv
2317.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2317.TW_ohlcv.csv
2323.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2323.TW_ohlcv.csv
2324.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2324.TW_ohlcv.csv
2327.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2327.TW_ohlcv.csv
2328.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2328.TW_ohlcv.csv
2329.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2329.TW_ohlcv.csv
2330.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2330.TW_ohlcv.csv
2331.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2331.TW_ohlcv.csv
2332.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2332.TW_ohlcv.csv
2337.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2337.TW_ohlcv.csv
2338.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2338.TW_ohlcv.csv
2340.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2340.TW_ohlcv.csv
2342.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2342.TW_ohlcv.csv
2344.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2344.TW_ohlcv.csv
2345.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2345.TW_ohlcv.csv
2347.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2347.TW_ohlcv.csv
2348.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2348.TW_ohlcv.csv
2349.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2349.TW_ohlcv.csv
2351.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2351.TW_ohlcv.csv
2352.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2352.TW_ohlcv.csv
2353.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2353.TW_ohlcv.csv
2354.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2354.TW_ohlcv.csv
2355.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2355.TW_ohlcv.csv
2356.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2356.TW_ohlcv.csv
2357.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2357.TW_ohlcv.csv
2359.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2359.TW_ohlcv.csv
2360.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2360.TW_ohlcv.csv
2362.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2362.TW_ohlcv.csv
2363.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2363.TW_ohlcv.csv
2364.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2364.TW_ohlcv.csv
2365.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2365.TW_ohlcv.csv
2367.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2367.TW_ohlcv.csv
2368.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2368.TW_ohlcv.csv
2369.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2369.TW_ohlcv.csv
2371.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2371.TW_ohlcv.csv
2373.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2373.TW_ohlcv.csv
2374.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2374.TW_ohlcv.csv
2375.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2375.TW_ohlcv.csv
2376.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2376.TW_ohlcv.csv
2377.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2377.TW_ohlcv.csv
2379.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2379.TW_ohlcv.csv
2380.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2380.TW_ohlcv.csv
2382.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2382.TW_ohlcv.csv
2383.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2383.TW_ohlcv.csv
2385.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2385.TW_ohlcv.csv
2387.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2387.TW_ohlcv.csv
2388.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2388.TW_ohlcv.csv
2390.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2390.TW_ohlcv.csv
2392.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2392.TW_ohlcv.csv
2393.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2393.TW_ohlcv.csv
2395.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2395.TW_ohlcv.csv
2397.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2397.TW_ohlcv.csv
2399.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2399.TW_ohlcv.csv
2401.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2401.TW_ohlcv.csv
2402.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2402.TW_ohlcv.csv
2404.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2404.TW_ohlcv.csv
2405.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2405.TW_ohlcv.csv
2406.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2406.TW_ohlcv.csv
2408.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2408.TW_ohlcv.csv
2409.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2409.TW_ohlcv.csv
2412.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2412.TW_ohlcv.csv
2413.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2413.TW_ohlcv.csv
2414.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2414.TW_ohlcv.csv
2415.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2415.TW_ohlcv.csv
2417.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2417.TW_ohlcv.csv
2419.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2419.TW_ohlcv.csv
2420.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2420.TW_ohlcv.csv
2421.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2421.TW_ohlcv.csv
2423.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2423.TW_ohlcv.csv
2424.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2424.TW_ohlcv.csv
2425.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2425.TW_ohlcv.csv
2426.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2426.TW_ohlcv.csv
2427.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2427.TW_ohlcv.csv
2428.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2428.TW_ohlcv.csv
2429.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2429.TW_ohlcv.csv
2430.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2430.TW_ohlcv.csv
2431.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2431.TW_ohlcv.csv
2432.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2432.TW_ohlcv.csv
2433.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2433.TW_ohlcv.csv
2434.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2434.TW_ohlcv.csv
2436.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2436.TW_ohlcv.csv
2438.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2438.TW_ohlcv.csv
2439.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2439.TW_ohlcv.csv
2440.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2440.TW_ohlcv.csv
2441.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2441.TW_ohlcv.csv
2442.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2442.TW_ohlcv.csv
2444.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2444.TW_ohlcv.csv
2449.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2449.TW_ohlcv.csv
2450.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2450.TW_ohlcv.csv
2451.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2451.TW_ohlcv.csv
2453.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2453.TW_ohlcv.csv
2454.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2454.TW_ohlcv.csv
2455.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2455.TW_ohlcv.csv
2457.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2457.TW_ohlcv.csv
2458.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2458.TW_ohlcv.csv
2459.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2459.TW_ohlcv.csv
2460.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2460.TW_ohlcv.csv
2461.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2461.TW_ohlcv.csv
2462.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2462.TW_ohlcv.csv
2464.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2464.TW_ohlcv.csv
2465.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2465.TW_ohlcv.csv
2466.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2466.TW_ohlcv.csv
2467.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2467.TW_ohlcv.csv
2468.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2468.TW_ohlcv.csv
2471.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2471.TW_ohlcv.csv
2472.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2472.TW_ohlcv.csv
2474.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2474.TW_ohlcv.csv
2476.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2476.TW_ohlcv.csv
2477.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2477.TW_ohlcv.csv
2478.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2478.TW_ohlcv.csv
2480.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2480.TW_ohlcv.csv
2481.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2481.TW_ohlcv.csv
2482.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2482.TW_ohlcv.csv
2483.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2483.TW_ohlcv.csv
2484.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2484.TW_ohlcv.csv
2485.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2485.TW_ohlcv.csv
2486.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2486.TW_ohlcv.csv
2488.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2488.TW_ohlcv.csv
2489.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2489.TW_ohlcv.csv
2491.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2491.TW_ohlcv.csv
2492.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2492.TW_ohlcv.csv
2493.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2493.TW_ohlcv.csv
2495.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2495.TW_ohlcv.csv
2496.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2496.TW_ohlcv.csv
2497.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2497.TW_ohlcv.csv
2498.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2498.TW_ohlcv.csv
2501.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2501.TW_ohlcv.csv
2504.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2504.TW_ohlcv.csv
2505.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2505.TW_ohlcv.csv
2506.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2506.TW_ohlcv.csv
2509.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2509.TW_ohlcv.csv
2511.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2511.TW_ohlcv.csv
2514.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2514.TW_ohlcv.csv
2515.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2515.TW_ohlcv.csv
2516.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2516.TW_ohlcv.csv
2520.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2520.TW_ohlcv.csv
2524.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2524.TW_ohlcv.csv
2527.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2527.TW_ohlcv.csv
2528.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2528.TW_ohlcv.csv
2530.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2530.TW_ohlcv.csv
2534.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2534.TW_ohlcv.csv
2535.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2535.TW_ohlcv.csv
2536.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2536.TW_ohlcv.csv
2537.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2537.TW_ohlcv.csv
2538.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2538.TW_ohlcv.csv
2539.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2539.TW_ohlcv.csv
2540.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2540.TW_ohlcv.csv
2542.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2542.TW_ohlcv.csv
2543.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2543.TW_ohlcv.csv
2545.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2545.TW_ohlcv.csv
2546.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2546.TW_ohlcv.csv
2547.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2547.TW_ohlcv.csv
2548.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2548.TW_ohlcv.csv
2597.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2597.TW_ohlcv.csv
2601.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2601.TW_ohlcv.csv
2603.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2603.TW_ohlcv.csv
2605.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2605.TW_ohlcv.csv
2606.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2606.TW_ohlcv.csv
2607.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2607.TW_ohlcv.csv
2608.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2608.TW_ohlcv.csv
2609.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2609.TW_ohlcv.csv
2610.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2610.TW_ohlcv.csv
2611.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2611.TW_ohlcv.csv
2612.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2612.TW_ohlcv.csv
2613.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2613.TW_ohlcv.csv
2614.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2614.TW_ohlcv.csv
2615.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2615.TW_ohlcv.csv
2616.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2616.TW_ohlcv.csv
2617.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2617.TW_ohlcv.csv
2618.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2618.TW_ohlcv.csv
2630.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2630.TW_ohlcv.csv
2633.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2633.TW_ohlcv.csv
2634.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2634.TW_ohlcv.csv
2636.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2636.TW_ohlcv.csv
2637.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2637.TW_ohlcv.csv
2642.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2642.TW_ohlcv.csv
2645.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2645.TW_ohlcv.csv
2646.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2646.TW_ohlcv.csv
2701.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2701.TW_ohlcv.csv
2702.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2702.TW_ohlcv.csv
2704.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2704.TW_ohlcv.csv
2705.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2705.TW_ohlcv.csv
2706.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2706.TW_ohlcv.csv
2707.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2707.TW_ohlcv.csv
2712.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2712.TW_ohlcv.csv
2722.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2722.TW_ohlcv.csv
2723.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2723.TW_ohlcv.csv
2727.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2727.TW_ohlcv.csv
2731.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2731.TW_ohlcv.csv
2739.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2739.TW_ohlcv.csv
2748.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2748.TW_ohlcv.csv
2753.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2753.TW_ohlcv.csv
2762.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2762.TW_ohlcv.csv
2801.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2801.TW_ohlcv.csv
2812.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2812.TW_ohlcv.csv
2816.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2816.TW_ohlcv.csv
2820.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2820.TW_ohlcv.csv
2832.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2832.TW_ohlcv.csv
2834.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2834.TW_ohlcv.csv
2836.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2836.TW_ohlcv.csv
2838.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2838.TW_ohlcv.csv
2845.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2845.TW_ohlcv.csv
2849.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2849.TW_ohlcv.csv
2850.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2850.TW_ohlcv.csv
2851.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2851.TW_ohlcv.csv
2852.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2852.TW_ohlcv.csv
2855.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2855.TW_ohlcv.csv
2867.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2867.TW_ohlcv.csv
2880.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2880.TW_ohlcv.csv
2881.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2881.TW_ohlcv.csv
2882.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2882.TW_ohlcv.csv
2883.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2883.TW_ohlcv.csv
2884.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2884.TW_ohlcv.csv
2885.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2885.TW_ohlcv.csv
2886.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2886.TW_ohlcv.csv
2887.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2887.TW_ohlcv.csv
2889.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2889.TW_ohlcv.csv
2890.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2890.TW_ohlcv.csv
2891.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2891.TW_ohlcv.csv
2892.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2892.TW_ohlcv.csv
2897.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2897.TW_ohlcv.csv
2901.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2901.TW_ohlcv.csv
2903.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2903.TW_ohlcv.csv
2904.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2904.TW_ohlcv.csv
2905.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2905.TW_ohlcv.csv
2906.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2906.TW_ohlcv.csv
