Ticker SYMBOL,資料年月日,毛利率(%),營業利益率(%),單季EPS,ROE(%),稅後淨利率(%),營業現金流,預估殖利率(%),負債比率(%),本業獲利比(%)
1568.TW,2025-09-30,27.52,11.02,0.34,1.8,13.92,58727000.0,532.0,15.16,62.42
1582.TW,2025-12-31,21.08,5.5,,0.89,3.21,278653000.0,524.0,41.0,84.91
1582.TW,2025-06-30,23.31,8.78,0.84,1.81,5.62,-282666000.0,524.0,44.93,88.35
1587.TW,2025-09-30,18.76,2.64,0.18,0.96,2.12,-30691000.0,138.0,58.22,119.93
1587.TW,2025-06-30,20.3,3.29,0.06,0.34,0.74,26169000.0,138.0,59.61,192.58
1583.TW,2025-12-31,19.66,-2.16,,1.41,10.44,80037000.0,695.0,49.24,-14.22
1583.TW,2025-09-30,17.47,-2.09,2.93,4.58,30.98,117184000.0,695.0,49.79,-4.91
1589.TW,2025-09-30,7.87,-5.07,-2.29,-3.83,-14.89,-150151000.0,,68.78,33.23
1589.TW,2025-06-30,7.7,-5.6,-0.85,-1.4,-5.42,-831805000.0,,68.18,218.51
1590.TW,2025-12-31,47.51,31.39,,4.43,25.76,2688833000.0,201.0,8.61,95.9
1590.TW,2025-09-30,46.04,29.75,10.5,4.38,25.46,1902687000.0,201.0,19.16,92.5
1597.TW,2025-12-31,38.83,9.51,,1.47,10.6,21670000.0,82.0,41.16,72.26
1597.TW,2025-06-30,42.08,12.05,0.01,0.05,0.41,50903000.0,82.0,42.91,1246.55
1598.TW,2025-12-31,27.77,-8.7,,-7.94,-21.19,-129409000.0,254.0,56.31,31.9
1598.TW,2025-09-30,43.72,3.34,0.35,1.26,4.77,-60642000.0,254.0,53.28,56.68
1603.TW,2025-12-31,9.14,6.41,,0.49,2.6,157347000.0,472.0,37.72,159.93
1603.TW,2025-09-30,14.24,11.48,1.2,2.55,15.33,236584000.0,472.0,37.93,64.92
1604.TW,2025-12-31,17.55,3.53,,1.64,7.08,229625000.0,591.0,51.99,44.16
1604.TW,2025-09-30,19.3,5.18,0.36,1.51,6.39,508520000.0,591.0,52.14,65.47
1608.TW,2025-12-31,9.17,6.96,,2.99,11.84,-215099000.0,321.0,35.15,53.07
1608.TW,2025-06-30,8.83,6.86,0.65,3.14,9.22,95378000.0,321.0,39.68,71.43
1605.TW,2025-12-31,4.9,-1.88,,0.58,2.42,-571378000.0,166.0,41.96,-283.66
1605.TW,2025-09-30,4.76,-1.56,0.23,0.6,2.43,3624137000.0,166.0,42.44,-275.32
1609.TW,2025-12-31,13.61,8.7,,0.11,0.26,-1211340000.0,232.0,68.66,238.39
1609.TW,2025-09-30,13.07,7.73,0.42,1.79,4.37,-305248000.0,232.0,68.35,112.02
1611.TW,2025-12-31,37.93,11.66,,-0.51,-8.73,31738000.0,667.0,18.52,-66.63
1611.TW,2025-09-30,31.15,3.74,0.11,0.86,14.4,50996000.0,667.0,18.44,25.98
1612.TW,2025-12-31,16.53,12.52,,2.14,11.03,338542000.0,608.0,12.41,95.05
1612.TW,2025-09-30,13.37,9.9,0.7,2.79,11.79,265204000.0,608.0,12.79,72.08
1614.TW,2025-12-31,25.15,7.6,,1.39,6.68,106671000.0,185.0,17.43,96.66
1614.TW,2025-09-30,22.15,5.52,0.28,1.28,5.5,192195000.0,185.0,20.53,82.83
1616.TW,2025-12-31,13.02,9.95,,-5.72,-11.0,-117922000.0,782.0,48.14,-89.71
1616.TW,2025-09-30,15.84,12.62,0.57,4.79,7.11,-172902000.0,782.0,49.28,132.01
1615.TW,2025-12-31,24.96,21.2,,6.52,18.16,184431000.0,444.0,29.14,98.37
1615.TW,2025-09-30,23.13,18.59,1.17,5.95,18.22,62056000.0,444.0,31.88,83.78
1618.TW,2025-12-31,19.84,15.71,,2.77,18.48,120963000.0,391.0,21.87,72.5
1618.TW,2025-09-30,17.4,14.95,1.01,3.11,16.53,-207353000.0,391.0,23.87,72.49
1617.TW,2025-12-31,6.74,-0.54,,7.66,19.72,-33998000.0,340.0,30.54,-1.8
1617.TW,2025-09-30,6.98,0.28,0.09,0.73,1.79,-23827000.0,340.0,38.59,12.86
1623.TW,2025-12-31,21.29,16.58,,8.55,14.21,103796000.0,451.0,58.68,94.37
1623.TW,2025-09-30,14.87,11.95,2.91,6.48,10.94,-82160000.0,451.0,63.2,88.72
1626.TW,2025-12-31,20.74,-2.3,,-3.01,-5.75,-203634000.0,,66.12,34.28
1626.TW,2025-09-30,16.15,-8.07,-0.81,-4.5,-9.52,18144000.0,,66.14,74.65
1702.TW,2025-12-31,24.82,2.11,,0.44,1.16,465260000.0,689.0,53.57,91.93
1702.TW,2025-09-30,23.74,1.59,0.14,0.26,0.63,-369106000.0,689.0,57.3,83.76
1707.TW,2025-12-31,76.47,24.76,,3.69,14.82,1171989000.0,498.0,23.33,92.68
1707.TW,2025-09-30,73.63,22.36,1.99,2.54,12.2,161095000.0,498.0,19.68,93.97
1708.TW,2025-12-31,33.86,19.35,,3.66,16.55,509888000.0,478.0,40.96,104.06
1708.TW,2025-09-30,32.55,18.73,1.05,3.83,17.05,329668000.0,478.0,45.33,87.54
1709.TW,2025-12-31,17.58,8.27,,1.9,8.55,77151000.0,449.0,23.99,80.32
1709.TW,2025-09-30,12.94,5.11,0.34,1.78,7.54,190219000.0,449.0,23.81,56.16
1710.TW,2025-12-31,-1.71,-6.86,,-3.28,-7.64,-643143000.0,,64.58,82.17
1710.TW,2025-09-30,-0.71,-5.72,-0.28,-2.03,-4.58,91944000.0,,61.47,87.09
1711.TW,2025-12-31,17.63,-5.19,,-0.25,-1.14,399915000.0,80.0,34.07,157.53
1711.TW,2025-09-30,15.95,-5.66,-0.11,-0.72,-3.38,119031000.0,80.0,33.88,153.84
1712.TW,2025-12-31,29.22,6.49,,2.6,5.12,1110598000.0,574.0,43.86,101.64
1712.TW,2025-09-30,30.98,5.91,0.56,2.83,5.38,553989000.0,574.0,44.62,94.17
1713.TW,2025-12-31,6.57,-10.82,,5.19,145.05,8006000.0,1641.0,4.17,-7.46
1713.TW,2025-09-30,2.98,-32.01,1.18,4.95,158.08,221794000.0,1641.0,4.27,-20.2
1717.TW,2025-12-31,21.29,4.14,,1.34,3.74,1226126000.0,162.0,53.08,73.78
1717.TW,2025-09-30,19.72,3.16,0.49,2.14,5.69,1131193000.0,162.0,54.43,40.93
1714.TW,2025-12-31,14.2,8.91,,0.73,1.76,662207000.0,215.0,30.99,130.5
1714.TW,2025-09-30,9.73,4.8,0.17,1.03,2.78,-205175000.0,215.0,29.89,73.38
1718.TW,2025-12-31,76.61,53.01,,-0.15,-1.26,4723951000.0,,91.14,272.68
1718.TW,2025-09-30,76.27,50.6,0.23,0.35,2.78,-9386498000.0,,91.26,210.45
1720.TW,2025-12-31,41.22,19.8,,2.47,12.84,525096000.0,438.0,21.27,89.51
1720.TW,2025-09-30,41.67,19.71,1.72,3.41,17.38,510550000.0,438.0,22.39,72.13
1721.TW,2025-12-31,-19.76,-36.44,,-8.0,-32.88,117862000.0,,46.54,101.13
1721.TW,2025-09-30,-0.57,-9.64,-0.24,-2.53,-9.14,15115000.0,,44.75,113.1
1722.TW,2025-12-31,15.3,3.04,,-0.29,-5.86,1236237000.0,439.0,33.43,-45.04
1722.TW,2025-09-30,13.85,3.83,0.57,1.04,18.6,300662000.0,439.0,33.74,16.86
1723.TW,2025-12-31,17.58,7.03,,1.53,8.88,408545000.0,528.0,31.68,68.22
1723.TW,2025-06-30,17.88,9.02,0.67,2.1,10.91,128932000.0,528.0,31.9,81.48
1725.TW,2025-12-31,4.14,0.97,,0.45,1.7,3867000.0,433.0,24.57,53.08
1725.TW,2025-09-30,6.36,3.57,1.28,3.78,11.95,440271000.0,433.0,26.81,29.34
1726.TW,2025-12-31,28.35,10.44,,1.91,7.94,412992000.0,480.0,13.86,94.73
1726.TW,2025-09-30,26.88,11.17,1.52,2.45,10.88,224934000.0,480.0,12.48,83.34
1727.TW,2025-12-31,11.85,-0.02,,0.07,0.32,10450000.0,104.0,40.39,-5.86
1727.TW,2025-09-30,10.32,0.31,0.02,0.09,0.38,76268000.0,104.0,36.89,67.73
1730.TW,2025-12-31,51.36,13.92,,3.13,11.44,126764000.0,568.0,21.08,88.57
1730.TW,2025-06-30,50.46,13.16,0.88,2.8,9.81,122921000.0,568.0,26.94,87.48
1731.TW,2025-12-31,62.5,9.83,,1.63,8.52,105637000.0,553.0,33.19,90.32
1731.TW,2025-09-30,62.5,13.38,0.3,1.92,10.78,68088000.0,553.0,32.91,97.54
1732.TW,2025-12-31,41.94,6.35,,2.68,7.98,24130000.0,190.0,25.13,46.7
1732.TW,2025-09-30,41.75,7.52,0.3,2.61,7.5,12486000.0,190.0,24.7,75.04
1733.TW,2025-12-31,30.15,7.64,,2.68,11.41,82527000.0,405.0,22.57,57.68
1733.TW,2025-09-30,24.43,3.11,0.22,1.22,5.06,8915000.0,405.0,21.42,46.61
1734.TW,2025-12-31,43.46,10.91,,2.74,11.59,200629000.0,304.0,39.62,90.73
1734.TW,2025-09-30,43.83,12.48,0.44,2.33,9.55,203238000.0,304.0,41.67,103.68
1735.TW,2025-12-31,19.87,1.18,,3.7,10.26,94541000.0,348.0,47.47,9.18
1735.TW,2025-09-30,18.31,2.8,0.2,1.36,3.55,81222000.0,348.0,52.95,68.06
1736.TW,2025-12-31,48.58,9.96,,12.47,8.85,1608760000.0,325.0,72.6,86.88
1736.TW,2025-09-30,51.66,6.57,2.13,5.72,5.38,-29400000.0,325.0,74.59,79.64
1737.TW,2025-12-31,39.54,10.87,,2.1,17.53,155729000.0,409.0,17.53,52.78
1737.TW,2025-09-30,39.76,13.43,0.36,1.09,8.88,116467000.0,409.0,18.96,109.31
1760.TW,2025-12-31,52.35,13.44,,2.49,8.9,126851000.0,275.0,39.42,99.78
1760.TW,2025-09-30,56.45,18.71,0.88,3.96,14.17,73310000.0,275.0,39.13,95.15
1752.TW,2025-12-31,34.93,12.21,,2.96,14.27,179674000.0,448.0,34.88,82.73
1752.TW,2025-09-30,32.04,9.79,0.46,1.92,8.9,50735000.0,448.0,35.7,89.88
1762.TW,2025-12-31,-78.82,-143.69,,-4.58,-124.54,-20593000.0,67.0,28.49,122.22
1762.TW,2025-09-30,-5.97,-57.24,-0.77,-1.32,-27.56,112625000.0,67.0,27.6,175.29
1773.TW,2025-12-31,35.33,20.61,,4.75,18.15,922145000.0,172.0,33.2,91.1
1773.TW,2025-06-30,33.4,19.8,1.59,4.78,16.77,424706000.0,172.0,37.33,95.22
1776.TW,2025-12-31,22.5,8.01,,1.49,5.23,33112000.0,386.0,36.87,64.85
1776.TW,2025-09-30,17.14,3.82,0.02,0.12,0.45,49972000.0,386.0,39.71,59.99
1783.TW,2025-12-31,73.55,39.84,,5.45,37.27,96120000.0,194.0,18.78,87.38
1783.TW,2025-09-30,67.23,27.91,0.84,5.13,37.61,83181000.0,194.0,13.7,62.64
1786.TW,2025-12-31,75.32,19.86,,3.19,25.13,-13024000.0,314.0,25.82,68.97
1786.TW,2025-09-30,69.59,20.97,0.79,3.04,26.34,15412000.0,314.0,26.41,64.75
1789.TW,2025-12-31,33.04,0.97,,0.39,4.1,343974000.0,155.0,11.24,40.82
1789.TW,2025-06-30,42.75,10.74,0.04,0.33,4.58,50064000.0,155.0,14.16,171.93
1795.TW,2025-12-31,55.31,23.86,,4.72,17.91,1349170000.0,268.0,77.6,113.49
1795.TW,2025-09-30,57.32,24.87,5.51,6.47,30.07,2472509000.0,268.0,44.01,64.77
1802.TW,2025-12-31,13.67,4.93,,0.73,3.43,642390000.0,,44.59,120.53
1802.TW,2025-09-30,11.66,1.37,0.1,0.58,2.58,424483000.0,,45.43,47.54
1806.TW,2025-12-31,18.88,-3.7,,0.45,3.35,252015000.0,1186.0,35.58,-246.16
1806.TW,2025-09-30,25.29,4.75,0.16,1.16,7.72,-40290000.0,1186.0,36.36,51.67
1805.TW,2025-12-31,21.75,10.56,,1.11,9.64,50259000.0,,18.76,96.42
1805.TW,2025-09-30,100.0,-3036.15,-0.07,-0.61,-2851.6,-79472000.0,,20.92,106.47
1808.TW,2025-12-31,39.07,33.11,,12.97,26.06,4127990000.0,731.0,77.2,103.85
1808.TW,2025-09-30,1.91,-296.03,-0.16,-1.2,-386.81,-1757026000.0,731.0,79.53,80.4
1809.TW,2025-12-31,21.38,1.3,,0.39,2.04,40117000.0,100.0,26.74,33.09
1809.TW,2025-09-30,18.68,-0.29,0.02,0.13,0.66,9211000.0,100.0,26.22,-46.23
1810.TW,2025-12-31,26.07,-1.35,,0.05,0.31,123977000.0,112.0,33.05,-76.58
1810.TW,2025-09-30,25.86,-1.97,0.03,0.15,0.99,195772000.0,112.0,32.99,-158.52
1817.TW,2025-12-31,38.95,16.29,,2.72,9.27,111400000.0,619.0,21.77,125.3
1817.TW,2025-09-30,36.5,13.47,1.21,4.02,13.39,49104000.0,619.0,25.46,78.44
1903.TW,2025-12-31,64.83,-21.58,,3.55,503.45,37925000.0,,47.67,-4.09
1903.TW,2025-09-30,62.56,26.5,0.75,3.8,531.48,132668000.0,,49.42,4.99
1904.TW,2025-12-31,20.98,7.22,,2.11,5.58,1647308000.0,239.0,58.28,98.71
1904.TW,2025-09-30,17.02,3.18,0.14,0.54,1.5,1104572000.0,239.0,58.5,155.4
1906.TW,2025-12-31,12.71,7.26,,0.87,3.02,76170000.0,83.0,49.64,188.62
1906.TW,2025-09-30,7.89,1.42,0.23,1.22,4.87,435696000.0,83.0,49.13,23.82
1905.TW,2025-12-31,4.42,-5.95,,1.73,6.86,-388336000.0,,54.04,-71.63
1905.TW,2025-09-30,-1.91,-11.93,-0.28,-1.79,-6.87,-292496000.0,,55.77,134.39
1907.TW,2025-12-31,13.95,-0.02,,0.58,2.84,1651576000.0,308.0,46.62,-0.41
1907.TW,2025-09-30,11.53,-2.05,0.91,1.79,8.15,2930641000.0,308.0,48.81,-23.05
1909.TW,2025-12-31,12.46,2.83,,0.97,1.64,-126289000.0,,70.44,137.28
1909.TW,2025-09-30,8.04,-1.7,-0.11,-0.73,-1.28,597558000.0,,70.79,158.61
2002.TW,2025-12-31,4.83,0.51,,-0.06,-0.28,8098434000.0,169.0,51.04,-8088.37
2002.TW,2025-09-30,0.27,-4.1,-0.16,-0.77,-3.37,9113855000.0,169.0,52.05,96.93
2006.TW,2025-12-31,15.94,11.02,,4.06,10.11,2312598000.0,620.0,33.72,91.87
2006.TW,2025-06-30,15.74,11.43,1.51,3.49,7.05,516569000.0,620.0,40.9,120.92
2007.TW,2025-12-31,-29.22,-33.95,,-8.73,-37.97,-638622000.0,,65.78,81.68
2007.TW,2025-09-30,-9.21,-13.19,-0.57,-6.69,-24.52,331113000.0,,62.75,57.87
2008.TW,2025-12-31,17.77,9.61,,-0.02,-0.18,31127000.0,185.0,54.58,550.67
2008.TW,2025-09-30,17.16,11.32,0.3,1.63,12.5,78073000.0,185.0,55.54,90.6
2009.TW,2025-12-31,3.0,0.89,,0.01,0.14,-154329000.0,125.0,16.44,76.36
2009.TW,2025-06-30,-5.49,-7.54,-0.19,-0.99,-8.61,5939000.0,125.0,22.17,87.49
2010.TW,2025-12-31,10.75,7.18,,2.86,6.31,467472000.0,524.0,45.1,92.88
2010.TW,2025-06-30,10.52,6.65,0.6,3.2,6.13,230913000.0,524.0,49.87,93.48
2012.TW,2025-12-31,13.55,2.21,,-0.32,-0.76,1569000.0,645.0,60.26,94.98
2012.TW,2025-06-30,14.6,5.48,0.04,0.26,0.5,228953000.0,645.0,62.71,216.36
2013.TW,2025-12-31,4.4,2.4,,3.26,3.52,1369503000.0,458.0,62.05,63.07
2013.TW,2025-06-30,4.54,2.95,0.74,2.81,2.57,-144240000.0,458.0,65.43,95.49
2014.TW,2025-12-31,-3.67,-6.17,,-2.18,-6.96,910684000.0,,54.95,102.82
2014.TW,2025-06-30,-15.31,-17.4,-0.58,-6.45,-15.62,1536997000.0,,56.0,101.01
2015.TW,2025-12-31,11.65,8.48,,2.41,8.29,1459613000.0,536.0,12.49,84.31
2015.TW,2025-06-30,11.4,8.86,1.15,3.12,8.01,602084000.0,536.0,12.86,92.5
2017.TW,2025-12-31,-2.98,-20.04,,-1.67,-17.56,-77597000.0,,52.89,91.88
2017.TW,2025-09-30,-3.01,-18.4,-0.23,-1.49,-14.3,-58159000.0,,51.15,113.14
2020.TW,2025-12-31,19.71,11.95,,2.79,12.4,341958000.0,724.0,50.66,76.01
2020.TW,2025-09-30,18.86,12.99,0.59,3.61,9.81,509905000.0,724.0,53.87,113.31
2022.TW,2025-12-31,7.21,-1.48,,-0.17,-0.46,-443251000.0,,33.31,656.72
2022.TW,2025-09-30,10.6,2.53,0.05,0.22,0.59,-384438000.0,,31.69,77.73
2023.TW,2025-12-31,7.45,-2.27,,-2.51,-5.55,1249884000.0,,66.74,35.77
2023.TW,2025-09-30,8.95,0.84,-0.54,-3.01,-6.51,431766000.0,,64.0,-15.39
2025.TW,2025-12-31,-19.82,14.5,,2.71,16.41,5838000.0,,33.22,88.23
2025.TW,2025-09-30,-11.14,-16.39,0.31,3.82,26.31,-148464000.0,,31.46,-50.33
2024.TW,2025-12-31,8.85,2.74,,0.69,3.14,14143000.0,,32.61,87.86
2024.TW,2025-09-30,4.22,-2.98,-0.06,-0.53,-2.46,35945000.0,,34.45,126.43
2028.TW,2025-12-31,5.49,3.31,,1.24,2.69,25067000.0,355.0,43.21,107.89
2028.TW,2025-09-30,0.18,-2.34,-0.13,-0.86,-2.31,534238000.0,355.0,44.38,81.13
2027.TW,2025-12-31,25.55,14.07,,2.09,7.57,684240000.0,286.0,42.34,127.52
2027.TW,2025-09-30,26.36,15.55,0.99,2.76,8.96,547564000.0,286.0,44.58,107.73
2029.TW,2025-12-31,11.98,3.76,,0.85,3.0,406817000.0,614.0,10.29,92.11
2029.TW,2025-06-30,11.1,1.31,-0.02,-0.06,-0.15,326335000.0,614.0,14.11,-2274.56
2030.TW,2025-12-31,9.99,2.61,,1.26,2.5,-157334000.0,441.0,57.16,92.89
2030.TW,2025-09-30,8.04,0.66,0.07,0.44,0.83,515025000.0,441.0,58.92,67.54
2031.TW,2025-12-31,12.43,7.38,,1.61,6.03,985794000.0,623.0,56.62,98.0
2031.TW,2025-06-30,8.83,4.93,3.12,7.99,21.8,496200000.0,623.0,59.43,20.5
2032.TW,2025-12-31,6.08,2.14,,1.42,3.56,180422000.0,296.0,19.03,51.39
2032.TW,2025-09-30,6.81,3.65,0.25,1.88,3.95,-12935000.0,296.0,20.6,78.16
2034.TW,2025-12-31,5.45,-1.87,,-0.65,-2.39,662489000.0,494.0,55.87,43.7
2034.TW,2025-09-30,12.63,5.61,0.35,2.22,7.14,414328000.0,494.0,57.09,67.63
2033.TW,2025-12-31,14.21,5.07,,0.72,4.3,8364000.0,127.0,14.45,94.27
2033.TW,2025-06-30,13.45,4.16,0.05,0.41,2.33,26546000.0,127.0,13.57,118.13
2038.TW,2025-12-31,-0.64,-2.86,,-2.13,-4.02,25912000.0,,58.66,67.8
2038.TW,2025-09-30,-1.39,-3.77,-0.35,-1.65,-3.74,-131949000.0,,58.33,83.45
2049.TW,2025-12-31,27.05,4.85,,1.23,7.1,1639472000.0,105.0,30.83,60.35
2049.TW,2025-09-30,28.6,6.85,1.26,1.21,7.44,985449000.0,105.0,30.76,71.64
2062.TW,2025-12-31,11.31,3.65,,0.55,2.56,165097000.0,882.0,32.35,127.9
2062.TW,2025-06-30,8.32,-0.94,0.12,0.35,1.64,313213000.0,882.0,30.83,-32.05
2059.TW,2025-12-31,76.1,69.16,,12.54,71.01,4245633000.0,96.0,20.12,77.9
2059.TW,2025-06-30,77.5,71.71,6.42,2.89,14.52,1780300000.0,96.0,27.75,337.78
2069.TW,2025-12-31,10.04,4.07,,2.1,3.68,251477000.0,488.0,53.87,125.21
2069.TW,2025-09-30,8.56,2.91,0.38,1.6,2.63,89322000.0,488.0,56.34,99.25
2072.TW,2025-12-31,35.24,30.89,,3.79,28.9,-10430000.0,415.0,19.03,87.96
2072.TW,2025-09-30,32.63,20.06,2.35,2.11,17.51,2123143000.0,415.0,19.84,85.55
2101.TW,2025-12-31,20.96,4.37,,8.8,64.21,2137876000.0,185.0,76.66,6.34
2101.TW,2025-09-30,19.93,5.89,0.09,0.68,3.57,1061608000.0,185.0,77.55,106.43
2102.TW,2025-12-31,20.1,-165.35,,40.46,5938.97,-145893000.0,,21.47,-2.75
2102.TW,2025-09-30,31.11,-47.26,0.16,1.25,114.71,-51260000.0,,54.66,-48.95
2103.TW,2025-12-31,10.06,3.77,,1.25,3.21,374083000.0,331.0,50.27,73.11
2103.TW,2025-06-30,8.33,0.5,-0.08,-0.35,-0.74,2639059000.0,331.0,51.51,42.12
2104.TW,2025-12-31,-13.28,-23.9,,-3.35,-25.83,368483000.0,,48.14,81.26
2104.TW,2025-09-30,-6.0,-14.23,-2.86,-10.64,-73.68,-272592000.0,,46.76,19.34
2106.TW,2025-12-31,20.3,1.55,,0.34,0.82,-86037000.0,588.0,57.01,92.47
2106.TW,2025-09-30,19.77,1.93,0.08,0.41,0.93,1310739000.0,588.0,57.89,107.28
2105.TW,2025-12-31,22.84,6.78,,0.98,4.11,3639843000.0,761.0,38.74,103.58
2105.TW,2025-09-30,23.39,8.71,0.5,1.98,6.91,2992316000.0,761.0,40.51,98.57
2108.TW,2025-12-31,25.29,9.12,,0.78,5.6,757835000.0,391.0,10.23,67.3
2108.TW,2025-06-30,17.99,5.29,0.03,0.09,0.51,494531000.0,391.0,10.99,119.16
2107.TW,2025-12-31,29.93,14.22,,0.35,10.79,194958000.0,551.0,12.53,76.54
2107.TW,2025-09-30,29.63,14.85,0.59,1.38,57.76,399768000.0,551.0,13.3,23.42
2114.TW,2025-12-31,39.15,30.9,,4.03,29.11,293803000.0,569.0,16.66,84.91
2114.TW,2025-06-30,40.54,32.76,1.14,3.06,22.58,154120000.0,569.0,25.17,121.41
2109.TW,2025-09-30,19.2,6.6,0.27,1.54,7.81,303931000.0,887.0,36.9,63.4
2109.TW,2025-06-30,22.06,11.49,0.14,0.78,3.36,51078000.0,887.0,35.93,187.67
2201.TW,2025-12-31,30.14,11.67,,0.18,0.92,4860795000.0,206.0,74.41,220.96
2201.TW,2025-09-30,31.82,11.59,0.24,0.28,1.4,5004422000.0,206.0,74.86,156.94
2115.TW,2025-12-31,18.21,6.19,,0.32,1.41,7902000.0,699.0,30.18,117.74
2115.TW,2025-06-30,21.59,9.45,0.66,2.38,9.26,164018000.0,699.0,34.74,79.4
2206.TW,2025-12-31,18.31,4.85,,2.16,6.22,3096642000.0,505.0,56.45,57.93
2206.TW,2025-09-30,21.49,9.05,1.54,2.99,7.69,1314566000.0,505.0,57.48,89.46
2204.TW,2025-12-31,10.06,2.16,,2.05,10.51,784711000.0,650.0,22.74,25.31
2204.TW,2025-09-30,18.91,4.46,1.47,1.99,10.6,207917000.0,650.0,25.03,34.8
2208.TW,2025-12-31,11.98,7.43,,2.9,5.39,-4450562000.0,,84.62,138.81
2208.TW,2025-09-30,-2.02,-6.82,0.05,0.94,1.54,-3540574000.0,,84.38,-496.73
2207.TW,2025-12-31,15.51,5.16,,4.08,7.91,8567613000.0,412.0,76.25,47.07
2207.TW,2025-09-30,16.01,6.84,10.01,4.87,8.52,12784683000.0,412.0,77.62,57.0
2211.TW,2025-12-31,25.25,19.62,,1.67,13.57,1177626000.0,505.0,21.54,98.05
2211.TW,2025-09-30,28.4,24.56,2.87,3.94,29.99,560180000.0,505.0,21.06,64.61
2227.TW,2025-12-31,9.98,-4.74,,2.56,13.6,-428402000.0,786.0,20.81,-27.99
2227.TW,2025-09-30,8.77,-4.94,0.82,1.47,7.04,1017511000.0,786.0,21.96,-56.89
2228.TW,2025-12-31,21.61,6.75,,1.89,8.01,-52337000.0,1039.0,25.34,59.24
2228.TW,2025-09-30,24.12,9.0,1.09,1.89,7.15,378847000.0,1039.0,29.5,84.65
2231.TW,2025-12-31,23.65,-15.21,,-4.85,-20.47,-282814000.0,185.0,59.34,64.0
2231.TW,2025-09-30,31.87,-1.79,0.28,0.81,4.19,201176000.0,185.0,57.99,-55.78
2233.TW,2025-12-31,30.63,10.91,,2.55,13.22,267771000.0,320.0,40.15,61.99
2233.TW,2025-09-30,30.86,12.58,1.71,2.75,13.02,111566000.0,320.0,41.12,81.77
2236.TW,2025-12-31,8.48,-4.12,,-10.27,-10.16,1207000.0,28.0,71.28,44.63
2236.TW,2025-09-30,11.47,0.21,-3.28,-9.65,-7.53,-166868000.0,28.0,75.65,-3.41
2239.TW,2025-12-31,11.02,-2.31,,-2.16,-7.34,733353000.0,,51.3,27.71
2239.TW,2025-09-30,9.12,-2.88,-2.22,-1.57,-5.84,231516000.0,,51.91,43.4
2241.TW,2025-12-31,14.37,-1.51,,-0.69,-3.81,-39529000.0,,33.54,-454.49
2241.TW,2025-09-30,2.8,-15.52,-0.24,-1.74,-13.45,-29289000.0,,32.93,159.04
2243.TW,2025-12-31,22.27,16.03,,11.43,14.57,230187000.0,,76.13,107.83
2243.TW,2025-09-30,3.04,-6.43,-0.49,-4.96,-9.23,-48685000.0,,78.79,75.46
2247.TW,2025-12-31,11.04,2.77,,2.17,2.28,848846000.0,1064.0,40.98,96.38
2247.TW,2025-09-30,11.6,3.29,3.59,2.38,2.75,280220000.0,1064.0,40.0,95.21
2248.TW,2025-12-31,31.94,17.52,,5.56,14.03,101625000.0,568.0,45.11,98.0
2248.TW,2025-09-30,31.22,14.5,1.23,3.96,11.59,-27037000.0,568.0,46.15,98.55
2250.TW,2025-12-31,16.71,2.64,,1.41,3.52,111140000.0,552.0,40.99,60.66
2250.TW,2025-09-30,16.3,4.56,0.98,1.67,4.22,18875000.0,552.0,40.14,79.29
2254.TW,2025-12-31,-21.68,-98.59,,-4.22,-91.16,-32768000.0,,49.47,135.38
2254.TW,2025-09-30,13.48,-22.28,-0.29,-1.59,-16.96,-37655000.0,,48.81,105.18
2258.TW,2025-12-31,19.82,-262.93,,-11.12,-259.75,-834357000.0,,21.05,101.22
2258.TW,2025-09-30,19.39,-178.83,-0.61,-7.24,-169.37,426785000.0,,18.61,105.58
2301.TW,2025-12-31,21.72,10.48,,4.29,8.7,6106818000.0,518.0,56.25,89.2
2301.TW,2025-06-30,22.12,9.23,1.38,3.91,7.81,-2351232000.0,518.0,58.62,87.57
2302.TW,2025-12-31,36.04,11.05,,0.87,7.47,52563000.0,333.0,30.62,65.51
2302.TW,2025-09-30,34.88,13.39,0.38,3.47,27.73,17001000.0,333.0,29.89,43.57
2303.TW,2025-12-31,30.67,21.61,,2.65,16.27,33002887000.0,532.0,34.39,86.15
2303.TW,2025-09-30,29.81,18.62,,4.15,25.34,20937564000.0,532.0,34.97,75.17
2305.TW,2025-12-31,51.08,2.54,,1.51,16.63,80752000.0,,20.87,9.15
2305.TW,2025-09-30,44.0,1.02,0.13,1.16,15.08,60853000.0,,19.91,3.78
2308.TW,2025-12-31,34.59,16.39,,5.32,10.72,38157084000.0,49.0,49.13,103.26
2308.TW,2025-06-30,35.51,15.22,5.36,5.35,11.25,27326968000.0,49.0,52.25,96.47
2312.TW,2025-12-31,5.36,1.64,,0.82,0.7,-915991000.0,275.0,69.02,109.08
2312.TW,2025-09-30,7.04,2.8,0.3,1.28,1.09,-128479000.0,275.0,69.41,146.22
2313.TW,2025-12-31,18.7,11.01,,4.74,10.79,4118245000.0,108.0,47.11,90.96
2313.TW,2025-09-30,19.95,12.56,1.8,4.87,10.75,1913883000.0,108.0,49.09,91.44
2314.TW,2025-12-31,2.93,-21.62,,-109.99,-22.22,49090000.0,,95.9,102.64
2314.TW,2025-09-30,-5.46,-46.48,-3.85,-74.81,-39.25,70107000.0,,93.17,120.7
2316.TW,2025-12-31,5.71,-7.4,,3.71,41.63,128505000.0,50.0,31.75,-14.68
