Ticker,Reference_Price,Source
1423.TW,39.95000076293945,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1432.TW,17.450000762939453,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1434.TW,16.399999618530273,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1435.TW,14.75,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1436.TW,53.0,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1437.TW,30.5,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1438.TW,28.39999961853028,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1439.TW,27.799999237060547,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1440.TW,12.649999618530272,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1441.TW,9.9399995803833,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1442.TW,26.39999961853028,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1443.TW,23.600000381469727,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1444.TW,6.21999979019165,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1445.TW,12.399999618530272,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1446.TW,16.399999618530273,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1447.TW,5.059999942779541,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1449.TW,16.399999618530273,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1451.TW,18.299999237060547,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1452.TW,12.050000190734863,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1453.TW,12.100000381469728,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1454.TW,12.850000381469728,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1455.TW,8.449999809265137,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1456.TW,14.0,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1457.TW,15.350000381469728,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1459.TW,11.649999618530272,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1460.TW,7.0,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1463.TW,17.950000762939453,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1464.TW,10.25,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1465.TW,12.25,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1466.TW,17.0,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1467.TW,7.050000190734863,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1468.TW,12.300000190734863,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1470.TW,22.100000381469727,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1471.TW,12.100000381469728,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1472.TW,96.4000015258789,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1473.TW,24.0,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1474.TW,9.989999771118164,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1475.TW,29.200000762939453,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1476.TW,330.0,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
1477.TW,222.5,C:\test\test-2026-3-22OK\data\auto_price_snapshot_candidates.csv
